record_id,date,state,city,monitoring_station,pm2_5_ugm3,pm10_ugm3,no2_ugm3,so2_ugm3,co_mgm3,o3_ugm3,nh3_ugm3,aqi,aqi_category,dominant_pollutant,health_advisory,temperature_c,humidity_pct,wind_speed_kmph,monitoring_agency
11,2015-01-01,Jharkhand,Ranchi,Ranchi Circular Road,162.3,290.8,28.7,18.8,0.22,27.4,23.9,333,Very Poor,PM2.5,Respiratory illness on prolonged exposure,17.9,53.4,4.4,State Pollution Control Board
12,2015-01-01,Karnataka,Mysuru,Mysuru Hebbal,76.0,161.0,98.4,34.7,6.07,92.6,44.1,153,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",20.6,81.8,4.9,State Pollution Control Board
13,2015-01-01,Maharashtra,Mumbai,Colaba,106.7,165.8,24.3,27.8,1.55,78.8,12.7,256,Poor,PM2.5,Breathing discomfort on prolonged exposure,22.1,58.1,22.1,State Pollution Control Board
14,2015-01-01,Maharashtra,Nashik,Nashik Gangapur Road,100.4,163.4,30.6,11.5,0.65,103.3,27.4,235,Poor,PM2.5,Breathing discomfort on prolonged exposure,18.5,42.6,9.3,State Pollution Control Board
15,2015-01-01,Maharashtra,Pune,Pune Bhosari,113.3,230.5,74.0,13.7,0.25,18.0,14.8,278,Poor,PM2.5,Breathing discomfort on prolonged exposure,17.6,36.7,5.0,CPCB
16,2015-01-01,Odisha,Talcher,Talcher Coalfields,173.1,290.1,95.6,18.0,2.01,40.2,40.7,341,Very Poor,PM2.5,Respiratory illness on prolonged exposure,19.1,40.2,3.2,CPCB
17,2015-01-01,Odisha,Talcher,Talcher Coalfields,169.3,276.9,62.2,14.3,7.04,28.6,34.9,341,Very Poor,PM10,Respiratory illness on prolonged exposure,20.7,58.8,2.1,State Pollution Control Board
18,2015-01-01,Punjab,Amritsar,Amritsar Golden Gate,205.0,350.8,54.8,12.2,0.2,69.6,25.9,377,Very Poor,PM10,Respiratory illness on prolonged exposure,21.2,65.6,5.2,CPCB
19,2015-01-01,Punjab,Amritsar,Amritsar Golden Gate,247.8,419.4,46.2,33.2,1.04,69.6,26.6,398,Very Poor,PM2.5,Respiratory illness on prolonged exposure,16.2,62.9,4.6,SAFAR
20,2015-01-01,Punjab,Jalandhar,Jalandhar Sports Colony,96.9,189.0,104.5,42.6,3.39,185.1,38.1,223,Poor,PM2.5,Breathing discomfort on prolonged exposure,20.4,69.0,9.5,CPCB
21,2015-01-01,Punjab,Jalandhar,Jalandhar Sports Colony,68.7,130.3,42.2,25.3,0.7,65.3,16.3,129,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",11.5,63.2,4.8,CPCB
22,2015-01-01,Rajasthan,Jaipur,Adarsh Nagar,167.2,315.2,23.4,15.8,1.08,88.7,9.3,337,Very Poor,PM10,Respiratory illness on prolonged exposure,20.2,80.3,18.3,State Pollution Control Board
23,2015-01-01,Rajasthan,Jodhpur,Jodhpur Collectorate,95.4,171.9,117.3,5.5,4.6,76.5,26.3,219,Poor,PM10,Breathing discomfort on prolonged exposure,16.7,52.2,10.4,State Pollution Control Board
24,2015-01-01,Rajasthan,Jodhpur,Jodhpur Collectorate,152.5,319.4,41.7,1.7,1.23,80.8,34.5,325,Very Poor,PM2.5,Respiratory illness on prolonged exposure,18.7,72.1,16.4,State Pollution Control Board
25,2015-01-01,Rajasthan,Jodhpur,Jodhpur Collectorate,77.9,166.2,98.9,14.4,1.44,51.8,23.9,160,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",23.4,46.6,2.8,State Pollution Control Board
26,2015-01-01,Telangana,Hyderabad,Sanathnagar,114.1,244.8,45.4,12.9,1.27,67.8,71.8,280,Poor,PM2.5,Breathing discomfort on prolonged exposure,16.1,63.6,8.1,State Pollution Control Board
27,2015-01-01,Telangana,Hyderabad,Bollaram Industrial Area,55.3,91.8,79.0,16.3,4.42,15.1,56.3,92,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,19.6,47.6,2.8,CPCB
28,2015-01-01,Uttar Pradesh,Agra,Sanjay Palace,226.2,412.5,70.9,25.9,3.31,26.8,38.7,382,Very Poor,PM2.5,Respiratory illness on prolonged exposure,21.8,48.1,14.0,SAFAR
29,2015-01-01,Uttar Pradesh,Agra,Sanjay Palace,120.5,190.5,181.6,3.2,2.95,14.8,111.3,300,Poor,PM2.5,Breathing discomfort on prolonged exposure,21.3,42.2,7.2,CPCB
30,2015-01-01,Uttar Pradesh,Agra,Sanjay Palace,152.7,294.5,100.8,15.3,1.71,63.9,1.9,325,Very Poor,PM2.5,Respiratory illness on prolonged exposure,13.6,36.4,4.1,State Pollution Control Board
31,2015-01-01,Uttar Pradesh,Ghaziabad,Sanjay Nagar,249.8,389.0,51.6,26.6,2.26,18.1,58.2,400,Very Poor,PM2.5,Respiratory illness on prolonged exposure,17.1,44.2,6.3,State Pollution Control Board
32,2015-01-01,Uttar Pradesh,Ghaziabad,Sanjay Nagar,53.9,99.8,81.3,15.6,4.54,64.9,42.3,93,Satisfactory,PM10,Minor breathing discomfort to sensitive people,15.6,48.3,12.7,CPCB
33,2015-01-01,Uttar Pradesh,Kanpur,Nehru Nagar,228.2,412.1,86.7,28.5,0.84,46.1,19.0,383,Very Poor,PM2.5,Respiratory illness on prolonged exposure,22.9,81.6,22.6,CPCB
34,2015-01-01,Uttar Pradesh,Varanasi,Ardhali Bazar,142.8,245.2,174.8,55.2,1.05,94.8,20.4,329,Very Poor,PM10,Respiratory illness on prolonged exposure,17.5,85.1,3.7,SAFAR
35,2015-01-02,Bihar,Gaya,Gaya Collectorate,144.0,272.9,24.2,26.0,0.36,10.8,72.4,318,Very Poor,PM2.5,Respiratory illness on prolonged exposure,15.0,57.1,14.6,SAFAR
36,2015-01-02,Bihar,Patna,Rajbansi Nagar,222.5,456.1,53.0,42.1,2.43,18.1,43.1,379,Very Poor,PM2.5,Respiratory illness on prolonged exposure,21.5,95.8,14.3,SAFAR
37,2015-01-02,Chandigarh,Chandigarh,Sector 22,226.7,483.3,3.3,5.9,1.22,86.7,42.2,382,Very Poor,PM2.5,Respiratory illness on prolonged exposure,20.1,63.0,4.3,CPCB
38,2015-01-02,Delhi,Delhi,Punjabi Bagh,372.5,629.1,67.3,58.9,2.06,108.2,110.6,447,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",14.2,34.6,20.8,State Pollution Control Board
39,2015-01-02,Delhi,Delhi,Anand Vihar,220.8,481.9,32.4,17.2,1.58,53.1,32.3,378,Very Poor,PM2.5,Respiratory illness on prolonged exposure,14.3,78.4,10.7,State Pollution Control Board
40,2015-01-02,Delhi,Delhi,R K Puram,188.8,360.1,77.9,22.9,3.28,55.5,75.0,353,Very Poor,PM2.5,Respiratory illness on prolonged exposure,21.2,51.8,15.6,State Pollution Control Board
41,2015-01-02,Delhi,Delhi,Punjabi Bagh,154.4,248.2,151.5,67.9,5.34,59.0,21.3,326,Very Poor,PM2.5,Respiratory illness on prolonged exposure,19.4,55.8,3.9,SAFAR
42,2015-01-02,Goa,Panaji,Panaji Bus Stand,29.0,50.5,34.6,11.1,1.57,146.7,14.8,48,Good,PM2.5,Minimal impact,12.4,61.8,8.0,CPCB
43,2015-01-02,Gujarat,Vadodara,Vadodara GIDC,82.8,153.8,10.4,12.7,0.76,126.0,4.9,184,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",20.3,48.7,26.0,CPCB
44,2015-01-02,Gujarat,Vadodara,Vadodara GIDC,59.7,98.2,35.2,30.4,0.95,21.0,42.4,100,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,30.7,82.9,9.8,CPCB
45,2015-01-02,Haryana,Faridabad,Faridabad Sector 16A,419.8,655.2,29.3,7.6,2.17,109.0,33.6,450,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",14.7,24.4,7.0,State Pollution Control Board
46,2015-01-02,Haryana,Gurugram,Gurugram Sector 51,221.1,436.5,26.8,12.3,1.16,27.0,17.3,378,Very Poor,PM2.5,Respiratory illness on prolonged exposure,19.1,48.5,5.1,State Pollution Control Board
47,2015-01-02,Karnataka,Bengaluru,Silk Board,38.7,82.7,33.6,13.3,2.84,46.5,8.0,67,Satisfactory,PM10,Minor breathing discomfort to sensitive people,21.8,79.4,1.3,CPCB
48,2015-01-02,Karnataka,Bengaluru,Silk Board,57.9,115.3,29.7,11.0,2.3,16.6,19.1,96,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,21.0,82.5,12.1,CPCB
49,2015-01-02,Karnataka,Bengaluru,BTM Layout,87.3,176.3,69.8,18.0,0.2,98.4,14.9,191,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",18.8,71.0,13.9,CPCB
50,2015-01-02,Kerala,Thiruvananthapuram,TVM Kariavattom,15.9,26.5,24.9,9.5,1.24,87.1,22.3,32,Good,NO2,Minimal impact,19.0,43.5,7.7,State Pollution Control Board
51,2015-01-02,Madhya Pradesh,Indore,Chhoti Gwaltoli,136.9,268.7,70.1,18.3,2.01,61.3,12.0,319,Very Poor,PM10,Respiratory illness on prolonged exposure,24.7,51.3,17.3,CPCB
52,2015-01-02,Maharashtra,Mumbai,Colaba,37.6,68.9,27.8,3.5,2.33,56.2,3.7,66,Satisfactory,PM10,Minor breathing discomfort to sensitive people,17.4,62.2,4.7,CPCB
53,2015-01-02,Maharashtra,Nashik,Nashik Gangapur Road,139.5,258.3,36.6,3.5,3.31,66.8,23.9,315,Very Poor,PM2.5,Respiratory illness on prolonged exposure,16.2,35.8,5.3,State Pollution Control Board
54,2015-01-02,Punjab,Amritsar,Amritsar Golden Gate,220.2,354.9,38.8,40.0,1.46,35.2,11.7,377,Very Poor,PM2.5,Respiratory illness on prolonged exposure,17.4,50.2,14.1,SAFAR
55,2015-01-02,Punjab,Ludhiana,Ludhiana Civil Hospital,217.2,446.4,135.6,6.5,1.78,134.5,6.0,375,Very Poor,PM2.5,Respiratory illness on prolonged exposure,17.7,55.2,7.5,State Pollution Control Board
56,2015-01-02,Tamil Nadu,Chennai,Alandur Bus Depot,54.4,103.0,59.4,7.7,1.51,100.7,22.2,91,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,15.4,67.6,10.4,CPCB
57,2015-01-02,Tamil Nadu,Madurai,Madurai Anna Bus Stand,21.1,46.4,23.8,7.8,0.69,54.9,18.9,35,Good,PM2.5,Minimal impact,14.5,59.2,10.3,State Pollution Control Board
58,2015-01-02,Telangana,Hyderabad,Sanathnagar,73.1,136.4,44.8,11.1,2.25,89.9,12.5,149,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",16.2,50.0,4.9,State Pollution Control Board
59,2015-01-02,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,68.1,115.8,9.2,15.2,1.58,46.1,37.6,127,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",10.3,49.3,1.7,SAFAR
60,2015-01-02,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,328.3,690.0,42.3,18.9,0.32,76.6,46.5,430,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",16.1,39.8,10.2,State Pollution Control Board
61,2015-01-02,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,78.9,126.7,106.2,25.1,1.83,112.7,18.3,163,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",9.9,48.9,18.4,State Pollution Control Board
62,2015-01-02,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,100.6,214.7,25.1,7.0,1.21,7.7,26.7,235,Poor,PM2.5,Breathing discomfort on prolonged exposure,15.3,42.7,15.3,State Pollution Control Board
63,2015-01-03,Andhra Pradesh,Vijayawada,Vijayawada PWD Grounds,28.2,59.2,52.0,43.3,0.2,78.2,9.0,54,Satisfactory,NO2,Minor breathing discomfort to sensitive people,17.8,61.8,2.8,CPCB
64,2015-01-03,Bihar,Muzaffarpur,Muzaffarpur Collectorate,114.0,230.9,51.7,31.1,1.37,89.8,85.5,282,Poor,PM10,Breathing discomfort on prolonged exposure,18.7,68.3,2.4,State Pollution Control Board
65,2015-01-03,Bihar,Patna,Rajbansi Nagar,214.6,395.4,136.9,21.6,2.51,20.2,8.1,373,Very Poor,PM2.5,Respiratory illness on prolonged exposure,19.1,33.6,5.7,State Pollution Control Board
66,2015-01-03,Chandigarh,Chandigarh,Sector 22,103.9,187.8,13.8,18.6,0.99,78.2,13.2,257,Poor,PM10,Breathing discomfort on prolonged exposure,10.8,52.8,6.8,State Pollution Control Board
67,2015-01-03,Gujarat,Ahmedabad,Maninagar,58.3,97.7,194.2,18.0,0.94,150.3,29.9,208,Poor,NO2,Breathing discomfort on prolonged exposure,11.7,61.2,2.3,CPCB
68,2015-01-03,Karnataka,Bengaluru,BTM Layout,56.0,89.8,27.8,7.6,1.06,45.8,45.6,93,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,18.6,70.5,1.5,CPCB
69,2015-01-03,Karnataka,Mysuru,Mysuru Hebbal,66.2,108.2,93.2,30.0,0.38,37.0,11.7,121,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",19.8,50.9,13.3,SAFAR
70,2015-01-03,Kerala,Thiruvananthapuram,TVM Kariavattom,103.4,170.8,25.3,23.2,1.4,56.1,33.9,245,Poor,PM2.5,Breathing discomfort on prolonged exposure,22.1,37.8,10.5,CPCB
71,2015-01-03,Kerala,Thiruvananthapuram,TVM Kariavattom,46.6,97.7,56.2,21.3,1.01,27.5,18.9,78,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,15.7,53.4,5.3,State Pollution Control Board
72,2015-01-03,Madhya Pradesh,Indore,Chhoti Gwaltoli,232.6,463.0,59.0,33.3,1.3,37.1,32.9,387,Very Poor,PM2.5,Respiratory illness on prolonged exposure,19.1,60.9,6.0,State Pollution Control Board
73,2015-01-03,Maharashtra,Mumbai,Colaba,101.9,159.4,50.5,16.1,2.78,50.1,13.5,240,Poor,PM2.5,Breathing discomfort on prolonged exposure,16.8,23.5,23.3,CPCB
74,2015-01-03,Maharashtra,Mumbai,Colaba,39.4,85.7,31.4,11.4,3.62,30.4,24.2,66,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,22.3,41.3,10.9,State Pollution Control Board
75,2015-01-03,Maharashtra,Nashik,Nashik Gangapur Road,171.2,310.6,19.7,21.5,0.8,25.8,21.0,339,Very Poor,PM2.5,Respiratory illness on prolonged exposure,16.0,44.5,3.1,CPCB
76,2015-01-03,Odisha,Bhubaneswar,Bhubaneswar Capital Hospital,129.1,239.8,34.5,27.6,1.01,49.9,40.5,307,Very Poor,PM2.5,Respiratory illness on prolonged exposure,17.9,78.6,2.8,State Pollution Control Board
77,2015-01-03,Punjab,Amritsar,Amritsar Golden Gate,191.3,360.0,121.8,22.2,2.11,52.4,34.4,355,Very Poor,PM2.5,Respiratory illness on prolonged exposure,17.5,50.6,1.6,CPCB
78,2015-01-03,Rajasthan,Jaipur,Adarsh Nagar,382.6,627.9,69.5,8.7,2.32,18.6,19.0,450,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",17.3,61.3,2.4,CPCB
79,2015-01-03,Telangana,Hyderabad,Bollaram Industrial Area,69.7,121.6,48.2,22.8,1.92,58.2,10.2,132,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",24.1,35.0,5.0,State Pollution Control Board
80,2015-01-03,Telangana,Hyderabad,Bollaram Industrial Area,32.2,48.7,50.1,13.5,1.69,70.8,16.6,58,Satisfactory,NO2,Minor breathing discomfort to sensitive people,17.2,31.8,5.7,CPCB
81,2015-01-03,Telangana,Hyderabad,Bollaram Industrial Area,212.7,414.5,111.8,9.7,1.96,67.8,27.1,371,Very Poor,PM2.5,Respiratory illness on prolonged exposure,12.7,48.2,11.8,State Pollution Control Board
82,2015-01-03,Uttar Pradesh,Ghaziabad,Sanjay Nagar,456.1,727.8,18.4,37.5,2.16,58.4,44.2,450,Severe,PM2.5,"Affects healthy people, serious impact on those with existing diseases",17.4,30.6,6.2,State Pollution Control Board
83,2015-01-03,Uttar Pradesh,Kanpur,Nehru Nagar,147.2,229.2,57.3,43.3,1.95,102.6,6.6,321,Very Poor,PM2.5,Respiratory illness on prolonged exposure,20.1,48.1,10.2,CPCB
84,2015-01-03,Uttar Pradesh,Kanpur,Nehru Nagar,159.7,269.6,86.8,7.4,2.7,27.4,24.1,331,Very Poor,PM2.5,Respiratory illness on prolonged exposure,14.1,50.2,17.8,State Pollution Control Board
85,2015-01-03,Uttar Pradesh,Kanpur,Nehru Nagar,171.4,279.5,34.5,23.6,0.2,27.6,68.6,340,Very Poor,PM2.5,Respiratory illness on prolonged exposure,24.5,31.4,8.5,CPCB
86,2015-01-03,Uttar Pradesh,Lucknow,Lalbagh,97.8,163.5,88.8,95.2,0.43,23.1,26.0,227,Poor,PM10,Breathing discomfort on prolonged exposure,14.9,55.1,7.4,State Pollution Control Board
87,2015-01-03,Uttar Pradesh,Meerut,Meerut Jaibheem Nagar,117.4,211.8,205.8,13.9,0.41,15.9,18.2,291,Poor,PM2.5,Breathing discomfort on prolonged exposure,17.3,30.6,4.0,CPCB
88,2015-01-03,West Bengal,Asansol,Asansol Court Area,185.5,282.2,19.0,22.4,2.2,115.7,24.0,350,Very Poor,PM2.5,Respiratory illness on prolonged exposure,16.9,66.0,3.0,State Pollution Control Board
89,2015-01-03,West Bengal,Kolkata,Rabindra Bharati University,75.1,121.8,44.4,18.0,0.24,26.7,35.3,150,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",22.4,57.6,3.9,SAFAR
90,2015-01-04,Chandigarh,Chandigarh,Sector 22,80.0,148.4,124.2,12.2,4.72,159.9,18.4,167,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",17.4,74.5,4.2,CPCB
91,2015-01-04,Chhattisgarh,Raipur,Raipur Telibandha,86.9,181.6,47.7,40.3,0.28,10.7,47.1,195,Moderate,PM10,"Breathing discomfort to people with lung/heart disease, children, older adults",15.1,37.9,6.1,CPCB
92,2015-01-04,Gujarat,Ahmedabad,Maninagar,58.8,103.2,27.7,31.2,0.35,124.6,37.8,100,Satisfactory,PM10,Minor breathing discomfort to sensitive people,15.2,52.5,2.2,CPCB
93,2015-01-04,Gujarat,Ahmedabad,Maninagar,107.2,190.9,35.1,6.4,0.55,40.4,20.1,261,Poor,PM10,Breathing discomfort on prolonged exposure,17.2,45.1,6.4,State Pollution Control Board
94,2015-01-04,Gujarat,Ahmedabad,Maninagar,160.1,318.1,55.2,21.0,1.1,93.4,41.1,331,Very Poor,PM2.5,Respiratory illness on prolonged exposure,13.9,62.8,5.6,State Pollution Control Board
95,2015-01-04,Gujarat,Surat,Surat Ichchhanath,60.8,115.1,37.0,26.0,1.25,28.1,7.7,103,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",19.5,48.7,20.9,State Pollution Control Board
96,2015-01-04,Karnataka,Bengaluru,BTM Layout,22.1,47.3,48.1,18.7,0.28,60.8,31.2,49,Good,NO2,Minimal impact,19.0,51.1,1.4,State Pollution Control Board
97,2015-01-04,Karnataka,Mysuru,Mysuru Hebbal,44.0,81.4,19.0,22.2,1.23,160.9,19.5,73,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,19.4,65.7,8.7,State Pollution Control Board
98,2015-01-04,Maharashtra,Nagpur,Nagpur Civil Lines,134.6,288.1,5.4,22.2,4.52,67.5,33.5,311,Very Poor,PM2.5,Respiratory illness on prolonged exposure,16.8,69.2,1.3,CPCB
99,2015-01-04,Maharashtra,Nashik,Nashik Gangapur Road,61.0,96.3,47.7,8.0,2.19,16.5,46.8,103,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",22.5,54.5,11.3,CPCB
100,2015-01-04,Odisha,Bhubaneswar,Bhubaneswar Capital Hospital,77.0,161.8,32.0,7.5,4.48,83.9,5.0,157,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",17.9,74.7,9.7,State Pollution Control Board
101,2015-01-04,Rajasthan,Jodhpur,Jodhpur Collectorate,125.4,256.4,64.1,28.6,1.08,63.4,2.2,304,Very Poor,PM2.5,Respiratory illness on prolonged exposure,18.2,48.4,5.7,SAFAR
102,2015-01-04,Rajasthan,Kota,Kota Vigyan Nagar,41.9,69.3,48.4,13.6,1.23,67.1,33.0,70,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,19.6,44.0,8.3,CPCB
103,2015-01-04,Tamil Nadu,Madurai,Madurai Anna Bus Stand,122.4,254.4,40.2,39.2,2.05,35.2,12.8,302,Very Poor,PM2.5,Respiratory illness on prolonged exposure,19.9,61.9,17.3,SAFAR
104,2015-01-04,Telangana,Hyderabad,Sanathnagar,149.5,327.3,35.7,20.6,5.16,73.2,4.1,323,Very Poor,PM2.5,Respiratory illness on prolonged exposure,18.4,67.0,10.2,CPCB
105,2015-01-04,Uttar Pradesh,Ghaziabad,Sanjay Nagar,151.6,297.2,94.1,61.5,6.55,56.9,52.1,324,Very Poor,PM2.5,Respiratory illness on prolonged exposure,22.3,56.2,16.0,SAFAR
106,2015-01-04,West Bengal,Howrah,Howrah Ghusuri,83.5,165.9,67.8,11.8,0.63,93.8,7.8,178,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",16.1,59.1,7.8,CPCB
107,2015-01-04,West Bengal,Kolkata,Rabindra Bharati University,340.3,659.5,109.1,16.7,1.36,165.5,67.5,455,Severe,PM10,"Affects healthy people, serious impact on those with existing diseases",13.0,24.2,8.2,CPCB
108,2015-01-05,Bihar,Muzaffarpur,Muzaffarpur Collectorate,144.6,257.6,45.7,25.5,3.45,86.5,3.4,319,Very Poor,PM2.5,Respiratory illness on prolonged exposure,15.7,50.2,9.2,CPCB
109,2015-01-05,Bihar,Patna,Rajbansi Nagar,171.1,280.5,4.7,14.9,3.97,67.5,16.8,339,Very Poor,PM2.5,Respiratory illness on prolonged exposure,18.0,65.0,11.5,State Pollution Control Board
110,2015-01-05,Chhattisgarh,Raipur,Raipur Telibandha,92.4,161.9,17.4,16.9,1.03,30.6,96.5,208,Poor,PM2.5,Breathing discomfort on prolonged exposure,23.4,60.9,6.6,State Pollution Control Board
111,2015-01-05,Delhi,Delhi,R K Puram,166.4,357.7,51.7,8.9,1.63,92.6,54.1,336,Very Poor,PM2.5,Respiratory illness on prolonged exposure,22.1,35.7,2.8,State Pollution Control Board
112,2015-01-05,Delhi,Delhi,R K Puram,203.7,362.0,126.5,32.4,1.23,82.5,17.9,364,Very Poor,PM2.5,Respiratory illness on prolonged exposure,12.2,58.8,0.4,State Pollution Control Board
113,2015-01-05,Delhi,Delhi,Punjabi Bagh,133.7,262.3,76.6,30.6,5.43,52.5,16.3,311,Very Poor,PM2.5,Respiratory illness on prolonged exposure,23.1,64.3,0.9,SAFAR
114,2015-01-05,Delhi,Delhi,Dwarka Sector 8,238.8,419.2,81.7,18.5,2.53,64.2,48.1,391,Very Poor,PM2.5,Respiratory illness on prolonged exposure,14.2,38.1,14.3,CPCB
115,2015-01-05,Gujarat,Ahmedabad,Maninagar,24.5,50.1,56.6,12.9,1.19,93.2,14.3,70,Satisfactory,NO2,Minor breathing discomfort to sensitive people,16.4,65.0,6.4,CPCB
116,2015-01-05,Jammu and Kashmir,Srinagar,Srinagar Rajbagh,18.1,35.3,39.5,8.2,3.11,116.1,9.7,40,Good,NO2,Minimal impact,20.4,32.9,3.3,State Pollution Control Board
117,2015-01-05,Jharkhand,Jamshedpur,Jamshedpur Sakchi,102.5,158.7,32.1,33.5,1.36,13.6,16.7,242,Poor,PM2.5,Breathing discomfort on prolonged exposure,17.2,45.7,8.1,State Pollution Control Board
118,2015-01-05,Madhya Pradesh,Bhopal,TT Nagar,50.6,81.1,21.5,15.8,0.2,86.2,16.8,84,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,10.6,48.3,6.6,SAFAR
119,2015-01-05,Madhya Pradesh,Bhopal,TT Nagar,34.5,56.3,6.7,13.8,2.05,95.9,12.0,58,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,13.4,44.3,7.2,State Pollution Control Board
120,2015-01-05,Maharashtra,Mumbai,Bandra Kurla Complex,144.9,225.8,20.9,6.5,3.94,60.0,62.4,321,Very Poor,PM10,Respiratory illness on prolonged exposure,17.1,39.5,30.0,CPCB
121,2015-01-05,Odisha,Bhubaneswar,Bhubaneswar Capital Hospital,36.1,77.1,39.9,24.5,1.5,57.2,22.5,60,Satisfactory,PM2.5,Minor breathing discomfort to sensitive people,11.7,44.7,2.1,CPCB
122,2015-01-05,Odisha,Talcher,Talcher Coalfields,63.3,128.2,61.1,15.2,5.08,18.4,47.2,111,Moderate,PM2.5,"Breathing discomfort to people with lung/heart disease, children, older adults",18.5,49.3,3.4,State Pollution Control Board
123,2015-01-05,Odisha,Talcher,Talcher Coalfields,142.2,304.9,158.1,22.0,1.95,52.8,12.9,317,Very Poor,PM2.5,Respiratory illness on prolonged exposure,15.0,52.0,4.0,CPCB
124,2015-01-05,Punjab,Ludhiana,Ludhiana Civil Hospital,226.6,428.5,74.0,12.5,4.63,76.8,62.1,382,Very Poor,PM2.5,Respiratory illness on prolonged exposure,22.9,49.1,7.5,SAFAR
