fire_id,detection_date,state,latitude,longitude,sensor,detection_confidence_pct,temperature_c,relative_humidity_pct,wind_speed_kmh,rainfall_last_7d_mm,ndvi,fuel_moisture_index,drought_index,fire_radiative_power_mw,estimated_burned_area_ha,fire_risk,data_status
IND-FIRE-0165,2024-02-13,Maharashtra,20.28829,75.61307,SNPP-VIIRS,35.0,28.8,55.0,8.8,2.2,0.508,0.781,0.371,23.8,1.63,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0008,2024-02-13,Tamil Nadu,11.23588,79.36489,SNPP-VIIRS,35.0,26.6,48.2,7.4,2.3,0.301,0.666,0.33,17.7,4.19,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0244,2024-02-14,Maharashtra,19.5339,75.38241,SNPP-VIIRS,35.0,25.1,42.3,7.7,0.0,0.434,0.731,0.682,20.8,0.35,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0243,2024-02-15,Gujarat,21.91308,71.31033,SNPP-VIIRS,36.2,27.7,47.0,6.8,4.5,0.587,0.774,0.552,30.0,6.22,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0077,2024-02-16,Himachal Pradesh,31.20311,76.77281,SNPP-VIIRS,35.0,22.9,39.1,12.8,4.1,0.511,0.783,0.584,33.9,1.05,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0023,2024-02-16,West Bengal,22.77204,89.05609,SNPP-VIIRS,35.0,24.1,48.8,9.4,0.3,0.705,0.783,0.408,27.4,0.74,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0140,2024-02-18,Arunachal Pradesh,27.56412,94.27101,SNPP-VIIRS,35.0,26.6,48.4,5.8,1.6,0.6,0.707,0.297,10.8,0.81,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0050,2024-02-18,Bihar,24.48306,85.16406,MODIS,52.8,29.6,41.5,13.0,1.5,0.436,0.683,0.511,47.3,3.19,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0183,2024-02-18,Madhya Pradesh,23.34103,78.22161,SNPP-VIIRS,37.5,25.1,30.5,9.0,3.2,0.535,0.724,0.712,32.4,1.67,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0159,2024-02-18,Odisha,21.30302,85.314,SNPP-VIIRS,35.0,32.1,53.5,7.6,2.2,0.405,0.717,0.475,34.9,6.66,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0018,2024-02-19,Arunachal Pradesh,28.18061,94.89812,SNPP-VIIRS,35.0,24.9,42.3,9.0,2.7,0.59,0.792,0.499,29.3,3.2,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0065,2024-02-19,Mizoram,23.02639,91.32514,SNPP-VIIRS,44.6,26.6,21.7,9.0,5.7,0.434,0.6,0.672,14.0,3.59,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0238,2024-02-19,Tamil Nadu,10.785,77.92632,SNPP-VIIRS,49.0,34.0,36.3,10.2,3.6,0.574,0.668,0.775,41.7,1.14,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0151,2024-02-19,Telangana,18.73952,79.80413,SNPP-VIIRS,51.7,33.4,45.1,7.6,2.2,0.577,0.604,0.634,30.9,2.72,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0136,2024-02-20,Andhra Pradesh,16.22969,79.17714,SNPP-VIIRS,49.6,29.1,34.1,5.1,1.6,0.436,0.706,0.653,32.7,1.71,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0186,2024-02-20,Nagaland,26.6331,94.67753,SNPP-VIIRS,42.2,25.7,46.4,5.5,1.2,0.381,0.811,0.562,24.5,4.68,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0103,2024-02-21,Himachal Pradesh,29.91899,77.00023,SNPP-VIIRS,55.9,33.0,38.4,9.5,0.1,0.394,0.647,0.572,47.0,1.87,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0113,2024-02-21,Jharkhand,22.99257,85.77836,SNPP-VIIRS,40.7,31.5,33.1,9.9,6.1,0.652,0.6,0.579,42.3,4.66,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0278,2024-02-21,Madhya Pradesh,23.27997,78.58171,SNPP-VIIRS,67.8,33.4,45.4,8.4,5.3,0.444,0.678,0.728,47.2,3.49,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0285,2024-02-21,Maharashtra,20.36168,75.14004,SNPP-VIIRS,35.0,30.8,38.1,3.4,3.4,0.508,0.69,0.63,35.5,4.11,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0224,2024-02-21,Uttarakhand,30.71016,79.62035,SNPP-VIIRS,56.2,30.7,40.7,7.4,2.1,0.54,0.565,0.598,36.3,4.69,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0048,2024-02-22,Himachal Pradesh,30.57966,77.80643,SNPP-VIIRS,54.3,28.0,53.5,12.0,3.2,0.549,0.713,0.432,26.6,4.92,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0181,2024-02-22,Tripura,24.26603,91.32779,MODIS,35.0,24.8,44.5,10.9,7.8,0.594,0.715,0.629,39.5,1.9,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0276,2024-02-23,Karnataka,15.48856,75.99839,MODIS,59.8,30.3,35.7,9.7,2.0,0.452,0.478,0.714,41.1,2.93,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0123,2024-02-24,Assam,26.79507,92.74627,SNPP-VIIRS,35.0,24.5,43.4,8.4,0.1,0.501,0.738,0.435,21.3,2.69,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0153,2024-02-24,Bihar,24.86369,85.39032,MODIS,40.4,32.5,34.7,9.1,1.3,0.405,0.62,0.799,36.2,2.32,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0189,2024-02-24,Rajasthan,26.00953,74.3837,SNPP-VIIRS,44.7,27.8,50.0,5.3,6.6,0.368,0.814,0.666,40.4,3.35,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0036,2024-02-25,Chhattisgarh,21.07969,81.54776,SNPP-VIIRS,89.6,34.4,39.6,15.1,2.7,0.481,0.633,0.755,56.2,2.16,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0284,2024-02-25,Gujarat,22.65261,71.13137,SNPP-VIIRS,35.0,25.7,35.9,4.3,0.3,0.441,0.781,0.655,18.8,2.22,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0289,2024-02-25,Maharashtra,19.62114,76.17865,SNPP-VIIRS,49.8,29.1,59.1,12.2,3.8,0.556,0.659,0.54,13.6,1.75,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0025,2024-02-25,Tamil Nadu,11.57633,79.06321,MODIS,64.9,26.2,17.4,10.5,3.4,0.368,0.708,0.866,38.2,4.11,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0218,2024-02-26,Bihar,25.40804,84.05692,SNPP-VIIRS,35.0,28.1,47.0,7.2,3.6,0.342,0.725,0.398,27.3,3.91,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0169,2024-02-26,Jharkhand,24.64856,85.27917,MODIS,42.9,30.8,37.4,4.7,6.6,0.419,0.67,0.763,25.1,3.96,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0015,2024-02-26,Kerala,10.60711,77.21688,SNPP-VIIRS,35.0,27.7,50.9,9.4,4.9,0.59,0.84,0.347,37.5,2.64,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0035,2024-02-26,Madhya Pradesh,22.48151,78.44483,SNPP-VIIRS,60.0,29.1,31.4,2.3,2.7,0.601,0.503,0.762,20.9,1.88,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0079,2024-02-26,Maharashtra,19.05409,73.92661,SNPP-VIIRS,49.9,35.0,44.3,9.7,4.5,0.25,0.534,0.679,54.4,2.85,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0167,2024-02-26,Telangana,18.28047,79.60027,SNPP-VIIRS,35.0,28.2,48.7,3.0,1.1,0.24,0.731,0.286,16.3,1.26,low,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0166,2024-02-27,Karnataka,14.71996,74.8966,SNPP-VIIRS,35.0,32.8,45.4,6.7,9.9,0.453,0.652,0.472,39.3,1.73,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0294,2024-02-28,Assam,26.02386,92.80683,SNPP-VIIRS,58.0,32.2,47.0,9.6,0.7,0.386,0.668,0.693,45.0,1.9,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0279,2024-02-28,Tripura,24.26579,91.26931,MODIS,67.3,32.5,31.6,7.8,2.9,0.458,0.584,0.724,16.9,1.11,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0059,2024-03-01,Bihar,24.82711,85.19223,SNPP-VIIRS,35.2,28.3,22.8,7.0,2.6,0.435,0.607,0.74,50.8,4.37,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0255,2024-03-01,Gujarat,22.53415,70.78464,SNPP-VIIRS,47.4,34.1,38.0,10.0,1.6,0.503,0.571,0.636,43.9,3.2,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0076,2024-03-02,Himachal Pradesh,29.86157,77.04941,SNPP-VIIRS,35.0,29.5,27.5,10.0,4.3,0.371,0.569,0.62,35.8,6.96,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0267,2024-03-02,Himachal Pradesh,31.57113,76.89851,SNPP-VIIRS,35.0,29.6,26.0,10.9,2.1,0.481,0.552,0.795,43.2,4.3,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0257,2024-03-02,Telangana,18.88705,77.36881,SNPP-VIIRS,59.9,36.1,34.2,5.8,0.4,0.614,0.609,0.793,42.2,2.41,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0236,2024-03-03,Tamil Nadu,11.14138,77.35507,SNPP-VIIRS,39.4,29.1,43.0,12.3,1.6,0.303,0.694,0.586,54.8,3.45,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0067,2024-03-04,Maharashtra,20.77422,76.01846,MODIS,35.0,26.5,38.3,11.1,2.3,0.438,0.76,0.408,34.7,3.62,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0214,2024-03-04,Tamil Nadu,10.80841,78.35566,SNPP-VIIRS,50.4,25.8,50.0,11.0,6.1,0.581,0.666,0.559,28.8,4.48,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0142,2024-03-05,Madhya Pradesh,23.57326,80.09382,SNPP-VIIRS,55.5,32.8,35.6,8.9,1.5,0.565,0.714,0.746,35.4,5.29,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0066,2024-03-05,Maharashtra,20.40623,75.21957,SNPP-VIIRS,75.8,36.3,12.0,8.7,0.3,0.382,0.54,1.0,49.1,4.56,extreme,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0052,2024-03-06,Andhra Pradesh,16.24199,80.07778,SNPP-VIIRS,54.0,29.9,36.1,11.1,2.1,0.623,0.762,0.734,48.5,7.98,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0271,2024-03-06,Andhra Pradesh,14.7291,79.89627,SNPP-VIIRS,35.0,29.8,52.9,5.6,2.7,0.676,0.667,0.402,30.0,1.0,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0149,2024-03-06,Kerala,10.96309,77.03742,SNPP-VIIRS,73.6,39.6,40.7,12.3,0.1,0.624,0.58,0.627,47.9,9.79,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0127,2024-03-08,Jharkhand,23.94485,85.14062,SNPP-VIIRS,63.9,35.6,24.2,10.6,2.2,0.515,0.421,0.851,47.2,4.83,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0273,2024-03-09,Andhra Pradesh,15.783,79.86266,SNPP-VIIRS,54.4,34.8,34.4,8.6,0.1,0.579,0.537,0.841,46.2,7.28,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0204,2024-03-09,Chhattisgarh,20.81334,82.01971,SNPP-VIIRS,51.9,30.7,47.1,7.9,1.1,0.436,0.687,0.417,46.7,5.76,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0095,2024-03-09,Jharkhand,25.15546,84.9865,SNPP-VIIRS,65.1,39.9,25.7,10.5,0.3,0.397,0.45,0.899,46.3,6.28,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0138,2024-03-09,Madhya Pradesh,22.83996,78.03419,SNPP-VIIRS,44.0,37.4,31.6,10.2,4.8,0.422,0.567,1.0,62.0,1.8,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0031,2024-03-09,Rajasthan,27.76664,74.22573,SNPP-VIIRS,71.9,34.2,43.4,11.3,2.4,0.508,0.605,0.544,55.6,10.13,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0109,2024-03-10,Assam,25.77863,92.41352,SNPP-VIIRS,54.8,34.7,17.1,10.1,6.6,0.517,0.526,0.966,42.7,2.59,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0211,2024-03-10,Odisha,21.7114,86.18829,SNPP-VIIRS,65.7,35.6,19.0,12.4,1.3,0.551,0.581,0.917,52.5,1.38,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0007,2024-03-10,Sikkim,27.43421,88.6401,SNPP-VIIRS,58.1,33.5,41.2,10.1,1.8,0.546,0.681,0.704,44.4,4.88,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0160,2024-03-10,Tamil Nadu,11.44429,78.49809,MODIS,69.8,35.1,29.1,4.7,0.9,0.446,0.541,0.689,46.3,5.95,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0290,2024-03-11,Assam,26.5192,91.81594,SNPP-VIIRS,35.0,27.4,35.3,8.5,1.2,0.415,0.712,0.664,20.7,2.51,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0231,2024-03-11,Bihar,25.31706,84.58303,SNPP-VIIRS,47.7,34.5,24.2,14.4,2.6,0.532,0.611,0.908,47.6,1.36,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0115,2024-03-11,Chhattisgarh,21.5027,82.11769,SNPP-VIIRS,51.2,33.9,34.0,8.3,0.2,0.464,0.615,0.667,41.2,0.63,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0266,2024-03-11,Chhattisgarh,22.0257,82.61772,MODIS,38.8,32.9,35.4,4.1,6.0,0.565,0.591,0.698,45.9,4.21,moderate,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0146,2024-03-11,Himachal Pradesh,29.95024,77.71912,SNPP-VIIRS,47.3,31.8,31.1,8.1,8.9,0.55,0.539,0.714,21.7,3.38,high,synthetic_event_calibrated_to_FSI_patterns
IND-FIRE-0156,2024-03-11,Odisha,20.92385,85.55775,MODIS,58.4,33.4,27.4,11.8,0.4,0.629,0.61,0.848,23.6,3.24,high,synthetic_event_calibrated_to_FSI_patterns
