Observation_ID,Date,Year,Month,Glacier_Name,Himalayan_Basin_Range,State_or_UT,Elevation_m_asl,Ambient_Air_Temp_C,Ice_Surface_Temp_C,Solar_Irradiance_W_m2,Surface_Albedo,Debris_Cover_Thickness_cm,Daily_Liquefaction_Melt_cm_we,Annual_Terminus_Retreat_m_yr,Net_Annual_Mass_Balance_m_we_yr,Glacial_Lake_Volume_10k_m3,Proglacial_Discharge_m3_s,GLOF_Susceptibility_Class
HIM-GL-MELT-000032,2020-06-06,2020,June,Drang-Drung Glacier,Zanskar Range,Ladakh,4595,3.8,-0.8,677.7,0.41,2.6,6.44,12.2,-0.57,73.0,25.5,Moderate Risk
HIM-GL-MELT-000033,2026-08-28,2026,August,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4388,4.9,0.0,808.7,0.28,12.8,2.98,26.3,-1.26,513.8,15.5,Moderate Risk
HIM-GL-MELT-000034,2022-06-02,2022,June,Changme Khangpu Glacier,Tista Basin,Sikkim,4889,1.8,0.0,734.9,0.38,8.3,3.2,22.3,-0.89,480.5,15.7,Moderate Risk
HIM-GL-MELT-000035,2021-07-14,2021,July,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4481,6.8,0.0,659.8,0.31,1.5,7.72,29.4,-1.2,496.6,32.1,High Risk
HIM-GL-MELT-000036,2025-06-14,2025,June,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5263,-0.4,-0.6,723.2,0.34,4.9,2.78,21.6,-1.13,114.8,13.0,Low Risk / Monitored
HIM-GL-MELT-000037,2023-09-06,2023,September,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4130,6.8,0.0,1050.0,0.27,9.6,6.77,25.5,-0.89,148.6,25.6,Moderate Risk
HIM-GL-MELT-000038,2023-06-22,2023,June,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4661,6.8,0.0,850.7,0.37,2.2,8.73,29.7,-1.39,291.5,35.9,High Risk
HIM-GL-MELT-000039,2024-10-07,2024,October,Rathong Glacier,West Sikkim,Sikkim,4997,0.3,-0.0,589.9,0.37,10.1,2.06,31.2,-1.63,463.6,11.8,Low Risk / Monitored
HIM-GL-MELT-000040,2023-07-06,2023,July,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4046,8.2,0.0,778.7,0.39,5.1,8.89,26.2,-1.2,140.8,33.9,Moderate Risk
HIM-GL-MELT-000041,2019-09-20,2019,September,Pindari Glacier,Kumaon Himalaya,Uttarakhand,4095,9.9,0.0,619.0,0.25,6.1,9.9,30.4,-1.59,139.0,38.5,Moderate Risk
HIM-GL-MELT-000042,2024-08-12,2024,August,Rathong Glacier,West Sikkim,Sikkim,4623,8.4,0.0,718.2,0.32,4.0,10.35,33.3,-1.43,466.2,44.0,High Risk
HIM-GL-MELT-000043,2019-05-14,2019,May,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4004,5.7,0.0,777.8,0.24,25.4,2.08,21.6,-1.09,78.4,9.7,Low Risk / Monitored
HIM-GL-MELT-000044,2024-09-27,2024,September,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,4864,1.4,-0.5,654.3,0.23,18.3,1.17,26.7,-1.37,174.6,5.3,Low Risk / Monitored
HIM-GL-MELT-000045,2026-09-01,2026,September,Parkachik Glacier,Zanskar Range,Ladakh,4433,6.4,0.0,639.1,0.36,1.7,7.14,26.0,-1.13,159.0,28.4,Moderate Risk
HIM-GL-MELT-000046,2021-08-28,2021,August,Kangto Glacier,Eastern Himalaya,Arunachal Pradesh,4798,6.7,0.0,653.2,0.32,5.1,7.51,28.5,-1.55,99.4,28.9,Moderate Risk
HIM-GL-MELT-000047,2022-09-13,2022,September,Milam Glacier,Goriganga Basin,Uttarakhand,4569,6.2,0.0,642.6,0.23,10.2,4.66,26.4,-1.19,424.4,21.9,High Risk
HIM-GL-MELT-000048,2018-06-05,2018,June,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4657,5.2,-0.3,545.3,0.34,6.2,5.74,20.0,-1.08,262.5,22.4,High Risk
HIM-GL-MELT-000049,2018-09-05,2018,September,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4360,6.7,0.0,602.1,0.32,1.2,7.39,25.7,-0.98,610.2,34.0,High Risk
HIM-GL-MELT-000050,2026-09-11,2026,September,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4639,1.9,-1.3,647.0,0.29,10.7,3.11,30.9,-1.47,858.1,19.9,High Risk
HIM-GL-MELT-000051,2019-08-05,2019,August,Milam Glacier,Goriganga Basin,Uttarakhand,4114,6.2,0.0,794.4,0.3,5.4,8.19,22.7,-1.23,254.1,31.0,High Risk
HIM-GL-MELT-000052,2022-10-03,2022,October,Drang-Drung Glacier,Zanskar Range,Ladakh,4675,1.6,-1.1,687.8,0.27,7.4,3.27,18.7,-0.84,145.7,12.3,Moderate Risk
HIM-GL-MELT-000053,2025-10-13,2025,October,Pindari Glacier,Kumaon Himalaya,Uttarakhand,3932,7.0,0.0,707.6,0.26,5.1,8.74,31.2,-1.23,149.6,33.4,Moderate Risk
HIM-GL-MELT-000054,2025-10-05,2025,October,South Lhonak Glacier,North Sikkim Basin,Sikkim,5014,1.4,0.0,636.3,0.28,2.7,4.37,35.8,-1.29,1837.1,33.9,High Risk
HIM-GL-MELT-000055,2023-07-20,2023,July,Machoi Glacier,Great Himalaya,Jammu & Kashmir,3811,12.4,0.0,617.0,0.3,6.3,10.58,22.2,-1.41,178.6,43.2,Moderate Risk
HIM-GL-MELT-000056,2023-07-12,2023,July,Rathong Glacier,West Sikkim,Sikkim,4754,3.2,-0.8,722.7,0.31,7.7,4.57,35.6,-1.57,398.2,21.3,High Risk
HIM-GL-MELT-000057,2024-07-09,2024,July,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4557,7.9,0.0,695.1,0.33,5.5,8.96,33.0,-1.33,903.5,43.7,High Risk
HIM-GL-MELT-000058,2026-06-15,2026,June,Machoi Glacier,Great Himalaya,Jammu & Kashmir,4075,10.2,0.0,749.7,0.31,11.7,5.25,28.9,-1.58,183.2,22.1,Moderate Risk
HIM-GL-MELT-000059,2023-10-03,2023,October,Parkachik Glacier,Zanskar Range,Ladakh,4373,6.1,0.0,781.6,0.28,5.9,7.24,25.4,-1.48,104.3,28.0,Moderate Risk
HIM-GL-MELT-000060,2023-09-22,2023,September,Chhota Shigri Glacier,Pir Panjal / Chandra Basin,Himachal Pradesh,4877,1.3,-1.1,636.6,0.29,2.5,4.23,27.8,-1.25,520.0,21.1,Moderate Risk
HIM-GL-MELT-000061,2018-06-29,2018,June,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4181,7.5,0.0,653.5,0.36,9.3,5.68,22.5,-1.08,351.5,24.4,High Risk
HIM-GL-MELT-000062,2019-06-29,2019,June,Machoi Glacier,Great Himalaya,Jammu & Kashmir,3855,9.9,0.0,977.4,0.36,4.6,12.04,25.1,-1.23,55.1,45.8,Moderate Risk
HIM-GL-MELT-000063,2023-05-05,2023,May,Rathong Glacier,West Sikkim,Sikkim,4702,1.6,-0.2,625.5,0.38,0.9,3.13,28.5,-1.02,459.6,16.7,Moderate Risk
HIM-GL-MELT-000064,2026-09-12,2026,September,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4199,5.3,-0.0,680.1,0.32,14.6,2.38,34.5,-1.75,1036.6,16.8,High Risk
HIM-GL-MELT-000065,2025-09-22,2025,September,Parkachik Glacier,Zanskar Range,Ladakh,4797,2.5,-0.8,717.6,0.33,8.1,4.24,26.8,-1.24,127.4,16.2,Moderate Risk
HIM-GL-MELT-000066,2026-06-28,2026,June,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4498,7.2,0.0,631.8,0.48,3.6,8.23,33.5,-1.38,330.1,33.2,High Risk
HIM-GL-MELT-000067,2023-05-09,2023,May,Machoi Glacier,Great Himalaya,Jammu & Kashmir,3893,5.0,0.0,858.1,0.26,20.5,1.34,21.0,-0.9,173.8,8.1,Low Risk / Monitored
HIM-GL-MELT-000068,2024-09-26,2024,September,Pindari Glacier,Kumaon Himalaya,Uttarakhand,4207,6.8,-0.1,638.0,0.22,10.8,5.05,34.1,-1.5,131.0,20.1,Moderate Risk
HIM-GL-MELT-000069,2025-06-14,2025,June,Zemu Glacier,Kanchenjunga Massif,Sikkim,4287,8.8,0.0,638.8,0.46,0.8,7.77,35.4,-1.21,378.4,31.4,High Risk
HIM-GL-MELT-000070,2023-07-19,2023,July,Milam Glacier,Goriganga Basin,Uttarakhand,4084,10.3,0.0,850.1,0.33,3.4,12.25,24.4,-1.51,294.8,48.2,High Risk
HIM-GL-MELT-000071,2021-05-13,2021,May,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4445,5.4,0.0,793.9,0.31,10.7,4.26,32.3,-1.06,953.0,26.1,High Risk
HIM-GL-MELT-000072,2022-07-22,2022,July,Pindari Glacier,Kumaon Himalaya,Uttarakhand,4043,9.2,0.0,622.2,0.26,13.4,4.05,25.9,-1.12,139.8,16.6,Moderate Risk
HIM-GL-MELT-000073,2025-05-12,2025,May,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4641,2.1,-1.3,646.6,0.44,1.3,3.75,27.8,-1.37,1010.4,21.8,High Risk
HIM-GL-MELT-000074,2021-10-11,2021,October,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,4671,0.4,-1.0,499.8,0.31,3.7,2.58,25.7,-1.24,138.5,11.3,Low Risk / Monitored
HIM-GL-MELT-000075,2026-05-10,2026,May,Zemu Glacier,Kanchenjunga Massif,Sikkim,4595,0.6,-1.4,606.1,0.33,10.4,1.72,32.7,-1.53,472.5,9.6,Low Risk / Monitored
HIM-GL-MELT-000076,2020-05-15,2020,May,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4236,7.8,0.0,859.0,0.36,1.8,9.33,14.0,-0.94,377.3,38.8,High Risk
HIM-GL-MELT-000077,2024-07-30,2024,July,Rathong Glacier,West Sikkim,Sikkim,4515,5.3,-0.2,627.7,0.3,5.5,6.38,36.8,-1.59,445.7,29.7,High Risk
HIM-GL-MELT-000078,2023-05-19,2023,May,Milam Glacier,Goriganga Basin,Uttarakhand,4107,5.8,0.0,651.2,0.39,2.2,7.57,29.0,-1.1,365.6,30.3,High Risk
HIM-GL-MELT-000079,2024-08-11,2024,August,Gorichen Glacier,Kameng Basin,Arunachal Pradesh,5406,1.6,-0.6,840.0,0.32,0.3,3.24,29.0,-1.18,166.4,15.5,Moderate Risk
HIM-GL-MELT-000080,2022-09-11,2022,September,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4783,7.0,0.0,641.9,0.34,3.2,9.26,18.9,-0.85,331.8,36.8,High Risk
HIM-GL-MELT-000081,2026-09-09,2026,September,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4113,9.2,0.0,397.2,0.3,8.0,6.66,26.9,-1.37,194.2,27.4,Moderate Risk
HIM-GL-MELT-000082,2023-10-05,2023,October,Milam Glacier,Goriganga Basin,Uttarakhand,4743,3.2,-0.5,654.2,0.22,14.3,2.03,25.9,-1.1,431.0,10.5,Low Risk / Monitored
HIM-GL-MELT-000083,2021-08-11,2021,August,Satopanth Glacier,Alaknanda Basin,Uttarakhand,4467,7.6,0.0,539.8,0.26,8.2,6.14,18.3,-1.0,444.0,26.6,High Risk
HIM-GL-MELT-000084,2023-08-03,2023,August,Siachen Glacier,Karakoram,Ladakh,5061,6.2,-0.1,679.2,0.37,3.4,8.37,14.2,-0.82,29.3,30.3,Low Risk / Monitored
HIM-GL-MELT-000085,2021-05-27,2021,May,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4414,1.3,-1.0,791.5,0.44,0.5,3.27,23.5,-0.85,387.8,15.2,Moderate Risk
HIM-GL-MELT-000086,2021-06-06,2021,June,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,3873,10.7,0.0,686.8,0.26,6.9,9.43,21.5,-1.19,121.9,36.9,Moderate Risk
HIM-GL-MELT-000087,2022-09-14,2022,September,Siachen Glacier,Karakoram,Ladakh,5013,3.2,-0.4,800.7,0.27,8.8,5.08,18.0,-0.92,21.2,19.3,Low Risk / Monitored
HIM-GL-MELT-000088,2025-06-30,2025,June,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4443,7.0,0.0,804.7,0.35,3.0,9.71,33.2,-1.41,962.9,41.7,High Risk
HIM-GL-MELT-000089,2022-06-04,2022,June,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4640,4.4,-0.3,637.5,0.38,5.8,5.47,31.9,-1.4,933.2,27.9,High Risk
HIM-GL-MELT-000090,2024-08-13,2024,August,Dokriani Glacier,Bhagirathi Basin,Uttarakhand,4223,9.9,0.0,742.7,0.29,12.1,5.69,24.2,-1.57,153.7,23.3,Moderate Risk
HIM-GL-MELT-000091,2022-06-16,2022,June,Changme Khangpu Glacier,Tista Basin,Sikkim,5002,1.6,-0.5,795.1,0.41,3.7,4.31,29.6,-1.4,388.9,17.7,Moderate Risk
HIM-GL-MELT-000092,2020-09-25,2020,September,South Lhonak Glacier,North Sikkim Basin,Sikkim,5241,-0.8,-0.9,761.5,0.35,6.2,2.63,35.3,-1.52,1283.8,19.3,High Risk
HIM-GL-MELT-000093,2026-09-22,2026,September,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4757,4.7,0.0,882.8,0.2,27.4,1.71,38.6,-1.58,1027.5,14.1,High Risk
HIM-GL-MELT-000094,2023-06-24,2023,June,Drang-Drung Glacier,Zanskar Range,Ladakh,4664,4.1,0.0,719.6,0.38,8.5,4.21,20.9,-1.03,144.1,17.6,Moderate Risk
HIM-GL-MELT-000095,2026-07-27,2026,July,Drang-Drung Glacier,Zanskar Range,Ladakh,4657,13.4,0.0,619.0,0.31,5.1,12.7,24.8,-1.06,115.2,49.0,Moderate Risk
HIM-GL-MELT-000096,2020-08-02,2020,August,Siachen Glacier,Karakoram,Ladakh,5359,2.8,0.0,715.0,0.3,12.8,2.17,10.7,-0.43,32.9,8.4,Low Risk / Monitored
HIM-GL-MELT-000097,2019-05-06,2019,May,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4191,9.0,0.0,592.7,0.38,5.4,8.64,17.9,-0.8,426.1,37.8,High Risk
HIM-GL-MELT-000098,2025-08-29,2025,August,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4073,5.1,-0.2,503.5,0.34,4.4,6.02,30.6,-1.5,325.0,24.6,High Risk
HIM-GL-MELT-000099,2024-10-09,2024,October,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4497,0.0,-1.2,517.3,0.3,9.9,1.55,27.3,-1.2,239.1,7.4,Low Risk / Monitored
HIM-GL-MELT-000100,2020-06-18,2020,June,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,4013,9.8,0.0,369.4,0.36,4.3,9.42,25.1,-0.87,124.2,37.3,Moderate Risk
HIM-GL-MELT-000101,2020-10-11,2020,October,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,5019,-2.0,-2.0,516.8,0.28,17.4,0.65,29.2,-1.02,354.5,4.9,Low Risk / Monitored
HIM-GL-MELT-000102,2024-05-12,2024,May,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,3898,10.9,0.0,663.8,0.35,8.3,8.08,19.5,-0.95,169.0,30.7,Moderate Risk
HIM-GL-MELT-000103,2022-05-25,2022,May,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4765,0.5,-1.3,797.4,0.44,3.9,3.52,30.3,-1.17,935.3,18.5,High Risk
HIM-GL-MELT-000104,2024-08-30,2024,August,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,3917,12.3,0.0,814.1,0.33,7.4,11.17,30.0,-1.2,1112.6,49.6,Very High (Critical Alert)
HIM-GL-MELT-000105,2021-09-06,2021,September,Parkachik Glacier,Zanskar Range,Ladakh,4723,4.7,0.0,575.2,0.35,2.8,6.83,24.6,-1.27,107.1,27.1,Moderate Risk
HIM-GL-MELT-000106,2022-06-18,2022,June,Siachen Glacier,Karakoram,Ladakh,5099,2.9,0.0,731.9,0.39,2.9,5.66,18.7,-1.0,19.3,21.6,Low Risk / Monitored
HIM-GL-MELT-000107,2026-08-30,2026,August,Zemu Glacier,Kanchenjunga Massif,Sikkim,4723,8.4,0.0,573.8,0.35,4.0,9.44,37.1,-1.58,552.1,41.0,High Risk
HIM-GL-MELT-000108,2020-06-03,2020,June,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,3999,8.0,0.0,649.2,0.36,10.6,5.45,24.0,-1.19,307.5,21.1,High Risk
HIM-GL-MELT-000109,2022-07-22,2022,July,Drang-Drung Glacier,Zanskar Range,Ladakh,4501,8.4,0.0,808.4,0.34,9.9,6.62,14.0,-0.76,150.5,27.4,Moderate Risk
HIM-GL-MELT-000110,2025-06-22,2025,June,Chorabari Glacier,Mandakini Basin (Kedarnath),Uttarakhand,4177,7.4,0.0,867.7,0.38,2.2,9.78,37.3,-1.39,813.6,44.1,High Risk
HIM-GL-MELT-000111,2020-07-14,2020,July,Gepang Gath Glacier,Lahaul & Spiti,Himachal Pradesh,4608,4.0,0.0,770.5,0.29,16.0,2.34,28.9,-1.46,731.9,15.8,High Risk
HIM-GL-MELT-000112,2022-08-12,2022,August,Drang-Drung Glacier,Zanskar Range,Ladakh,4634,6.3,0.0,622.6,0.33,2.3,7.64,12.6,-0.91,80.8,30.8,Moderate Risk
HIM-GL-MELT-000113,2023-06-16,2023,June,Siachen Glacier,Karakoram,Ladakh,5482,-0.7,-1.8,766.2,0.37,7.6,2.8,17.1,-0.73,25.8,10.7,Low Risk / Monitored
HIM-GL-MELT-000114,2022-06-12,2022,June,Drang-Drung Glacier,Zanskar Range,Ladakh,4822,4.9,0.0,646.2,0.35,3.0,7.09,16.8,-1.03,157.0,28.7,Moderate Risk
HIM-GL-MELT-000115,2022-09-25,2022,September,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4209,5.7,0.0,667.8,0.29,7.8,6.29,25.2,-1.12,351.8,26.2,High Risk
HIM-GL-MELT-000116,2021-10-08,2021,October,Milam Glacier,Goriganga Basin,Uttarakhand,4187,6.7,0.0,742.3,0.35,3.8,9.25,22.4,-1.16,374.6,39.8,High Risk
HIM-GL-MELT-000117,2023-08-01,2023,August,Pindari Glacier,Kumaon Himalaya,Uttarakhand,3921,14.4,0.0,492.9,0.33,6.8,10.8,28.6,-1.23,177.2,41.6,Moderate Risk
HIM-GL-MELT-000118,2023-09-21,2023,September,Drang-Drung Glacier,Zanskar Range,Ladakh,4775,0.7,-1.1,669.9,0.29,15.0,1.24,19.1,-1.01,117.7,6.0,Low Risk / Monitored
HIM-GL-MELT-000119,2023-07-17,2023,July,Siachen Glacier,Karakoram,Ladakh,5375,3.4,0.0,598.1,0.3,10.6,3.66,15.5,-1.21,21.9,14.8,Low Risk / Monitored
HIM-GL-MELT-000120,2018-05-07,2018,May,Kolhai Glacier,Great Himalaya,Jammu & Kashmir,4214,1.4,0.0,573.1,0.37,7.8,2.92,22.0,-1.26,368.7,14.3,Moderate Risk
HIM-GL-MELT-000121,2023-07-09,2023,July,Pindari Glacier,Kumaon Himalaya,Uttarakhand,4272,7.1,0.0,796.3,0.21,17.5,2.07,28.7,-1.37,118.4,9.2,Low Risk / Monitored
HIM-GL-MELT-000122,2026-09-26,2026,September,Bara Shigri Glacier,Chandra-Bhaga Basin,Himachal Pradesh,4082,6.4,0.0,812.3,0.32,3.0,9.95,35.3,-1.61,478.5,42.6,High Risk
HIM-GL-MELT-000123,2023-06-05,2023,June,Beas Kund Glacier,Pir Panjal,Himachal Pradesh,3876,8.6,0.0,578.4,0.33,5.1,8.03,22.5,-0.89,84.5,31.7,Moderate Risk
HIM-GL-MELT-000124,2024-08-11,2024,August,Milam Glacier,Goriganga Basin,Uttarakhand,4520,4.2,0.0,629.3,0.37,9.0,3.25,23.5,-1.05,535.6,14.9,Moderate Risk
HIM-GL-MELT-000125,2023-06-23,2023,June,Milam Glacier,Goriganga Basin,Uttarakhand,4289,7.2,0.0,764.7,0.29,6.8,7.51,25.1,-1.26,441.7,32.5,High Risk
HIM-GL-MELT-000126,2025-09-24,2025,September,Gangotri Glacier,Bhagirathi Basin / Garhwal,Uttarakhand,4106,7.9,0.0,602.4,0.34,1.1,7.57,26.5,-1.37,467.5,33.5,High Risk
