Record_ID,Date,Year,Month,Region,State,City,Max_Temperature_C,Min_Temperature_C,Relative_Humidity_Pct,Wind_Speed_kmh,Urban_Heat_Island_Delta_C,Heat_Index_C,Wet_Bulb_Temp_C,IMD_Heatwave_Category,IMD_Warning_Alert,Reported_Heat_Exhaustion_Cases,Power_Grid_Peak_Stress_Index
IND-HW-000069,2024-05-23,2024,May,East,Odisha,Jharsuguda,42.7,32.1,40,18.0,4.1,55.7,30.8,Moderate Heat,Yellow,32,5.8
IND-HW-000070,2023-06-10,2023,June,East,Bihar,Patna,46.0,35.2,28,20.7,3.0,55.0,29.8,Heatwave,Orange,28,7.0
IND-HW-000071,2021-05-16,2021,May,North,Haryana,Hisar,47.5,36.5,35,8.7,2.6,65.8,33.2,Severe Heatwave,Red,56,8.3
IND-HW-000072,2022-04-28,2022,April,East,Bihar,Gaya,42.7,32.5,36,15.2,1.7,52.7,29.7,Moderate Heat,Yellow,30,6.3
IND-HW-000073,2024-04-16,2024,April,North,Haryana,Hisar,40.2,27.5,27,12.5,4.1,42.2,25.2,Moderate Heat,Yellow,9,4.6
IND-HW-000074,2021-05-18,2021,May,South,Tamil Nadu,Chennai,44.8,34.0,54,13.2,2.5,77.1,36.0,Heatwave,Orange,65,6.3
IND-HW-000075,2024-05-13,2024,May,East,Odisha,Jharsuguda,45.5,34.6,22,4.1,1.3,49.4,27.2,Heatwave,Orange,21,6.6
IND-HW-000076,2021-05-30,2021,May,West,Maharashtra,Chandrapur,48.9,38.0,23,11.3,0.6,57.2,30.0,Severe Heatwave,Red,36,7.7
IND-HW-000077,2023-05-30,2023,May,South,Telangana,Ramagundam,47.3,34.8,21,7.7,1.5,52.1,28.1,Severe Heatwave,Red,29,7.5
IND-HW-000078,2023-04-05,2023,April,East,Bihar,Patna,40.8,29.6,46,16.0,2.6,54.4,30.7,Moderate Heat,Yellow,29,4.5
IND-HW-000079,2023-06-08,2023,June,South,Tamil Nadu,Chennai,43.1,32.5,61,17.3,1.1,77.4,36.0,Heatwave,Orange,60,6.4
IND-HW-000080,2022-06-17,2022,June,West,Maharashtra,Chandrapur,47.4,35.6,22,17.0,3.5,53.1,28.6,Severe Heatwave,Red,32,8.3
IND-HW-000081,2024-06-08,2024,June,Central,Madhya Pradesh,Bhopal,43.9,29.8,21,14.4,1.2,45.9,25.7,Moderate Heat,Yellow,21,7.0
IND-HW-000082,2023-04-07,2023,April,East,Bihar,Patna,41.3,31.3,38,13.2,0.8,50.4,29.1,Moderate Heat,Yellow,23,4.7
IND-HW-000083,2021-05-23,2021,May,West,Maharashtra,Chandrapur,46.2,34.3,13,14.2,3.1,45.0,23.7,Heatwave,Orange,7,6.9
IND-HW-000084,2023-04-17,2023,April,North,Delhi,New Delhi,42.8,33.1,26,17.4,1.3,46.6,26.8,Moderate Heat,Yellow,17,5.3
IND-HW-000085,2021-05-29,2021,May,North,Punjab,Bathinda,44.8,33.1,30,18.0,3.1,53.6,29.5,Heatwave,Orange,22,7.3
IND-HW-000086,2021-04-09,2021,April,Central,Madhya Pradesh,Bhopal,43.2,31.6,27,18.6,1.9,48.0,27.4,Moderate Heat,Yellow,26,6.2
IND-HW-000087,2022-04-22,2022,April,North,Delhi,New Delhi,42.4,31.5,34,16.2,1.3,50.6,28.9,Moderate Heat,Yellow,38,6.2
IND-HW-000088,2024-05-14,2024,May,West,Maharashtra,Nagpur (Vidarbha),44.9,32.0,19,20.0,3.0,46.5,25.6,Heatwave,Orange,13,6.8
IND-HW-000089,2022-06-12,2022,June,North,Haryana,Hisar,45.1,35.3,32,5.8,2.6,56.0,30.4,Heatwave,Orange,32,7.3
IND-HW-000090,2023-05-29,2023,May,West,Gujarat,Ahmedabad,42.8,31.0,33,16.0,1.9,50.9,28.9,Moderate Heat,Yellow,18,5.6
IND-HW-000091,2022-06-19,2022,June,South,Telangana,Hyderabad,43.0,29.8,37,21.7,1.6,54.3,30.2,Moderate Heat,Yellow,25,5.8
IND-HW-000092,2021-04-13,2021,April,East,West Bengal,Kolkata,41.8,29.4,62,18.2,2.0,72.3,35.0,Moderate Heat,Yellow,67,4.9
IND-HW-000093,2024-06-21,2024,June,North,Haryana,Hisar,42.5,28.1,29,18.4,3.7,47.7,27.5,Moderate Heat,Yellow,12,5.6
IND-HW-000094,2023-04-12,2023,April,North,Rajasthan,Phalodi,44.1,34.4,24,19.6,2.0,48.0,27.0,Moderate Heat,Yellow,20,6.0
IND-HW-000095,2024-05-05,2024,May,North,Rajasthan,Phalodi,48.8,37.2,10,15.7,2.3,46.3,23.6,Severe Heatwave,Red,15,8.7
IND-HW-000096,2020-04-09,2020,April,North,Delhi,New Delhi,44.2,33.7,30,9.9,2.1,52.2,29.1,Moderate Heat,Yellow,20,6.3
IND-HW-000097,2020-04-15,2020,April,North,Uttar Pradesh,Prayagraj,44.8,33.4,34,15.8,2.1,56.8,30.8,Heatwave,Orange,32,6.8
IND-HW-000098,2024-04-18,2024,April,Central,Madhya Pradesh,Gwalior,50.4,40.6,17,16.5,3.1,54.4,28.4,Severe Heatwave,Red,34,9.6
IND-HW-000099,2023-04-06,2023,April,North,Punjab,Bathinda,40.0,25.9,29,11.7,2.9,42.7,25.6,Moderate Heat,Yellow,9,4.5
IND-HW-000100,2020-04-03,2020,April,Central,Madhya Pradesh,Bhopal,41.1,27.5,27,11.0,2.7,43.9,25.8,Moderate Heat,Yellow,9,4.8
IND-HW-000101,2021-04-30,2021,April,North,Punjab,Bathinda,43.9,29.8,19,14.2,3.8,44.9,25.0,Moderate Heat,Yellow,20,5.8
IND-HW-000102,2024-05-15,2024,May,Central,Madhya Pradesh,Bhopal,46.7,35.2,12,4.5,2.3,45.1,23.5,Heatwave,Orange,10,7.2
IND-HW-000103,2022-04-27,2022,April,North,Haryana,Hisar,48.8,37.9,17,7.9,1.4,51.6,27.3,Severe Heatwave,Red,10,8.0
IND-HW-000104,2023-05-15,2023,May,West,Maharashtra,Nagpur (Vidarbha),48.3,36.4,11,10.1,1.9,46.4,23.9,Severe Heatwave,Red,16,8.7
IND-HW-000105,2021-06-24,2021,June,North,Rajasthan,Churu,45.7,35.0,19,18.7,3.1,47.8,26.2,Heatwave,Orange,15,7.0
IND-HW-000106,2022-05-07,2022,May,North,Delhi,New Delhi,46.1,34.6,31,14.0,1.4,57.8,30.9,Heatwave,Orange,41,7.6
IND-HW-000107,2024-04-08,2024,April,East,Odisha,Jharsuguda,45.5,35.1,39,11.6,2.1,63.5,32.8,Heatwave,Orange,62,6.9
IND-HW-000108,2021-05-31,2021,May,North,Uttar Pradesh,Prayagraj,47.5,37.5,30,14.1,3.3,60.6,31.6,Severe Heatwave,Red,52,8.2
IND-HW-000109,2022-05-05,2022,May,North,Rajasthan,Phalodi,46.7,34.6,19,19.4,1.7,49.5,26.8,Heatwave,Orange,23,7.5
IND-HW-000110,2024-05-16,2024,May,West,Maharashtra,Nagpur (Vidarbha),49.4,39.5,17,19.5,1.7,52.7,27.7,Severe Heatwave,Red,28,8.6
IND-HW-000111,2021-04-21,2021,April,North,Haryana,Hisar,42.7,28.5,32,13.3,2.2,50.0,28.6,Moderate Heat,Yellow,19,6.1
IND-HW-000112,2022-04-17,2022,April,North,Rajasthan,Phalodi,50.5,38.7,10,6.3,3.8,48.3,24.6,Severe Heatwave,Red,21,9.1
IND-HW-000113,2023-05-25,2023,May,North,Delhi,New Delhi,42.7,30.6,29,15.7,1.5,48.2,27.6,Moderate Heat,Yellow,15,5.7
IND-HW-000114,2022-06-27,2022,June,North,Rajasthan,Phalodi,46.6,33.8,23,11.6,4.1,52.3,28.4,Heatwave,Orange,16,7.8
IND-HW-000115,2022-04-06,2022,April,North,Uttar Pradesh,Prayagraj,45.3,34.3,21,17.4,0.7,48.4,26.7,Heatwave,Orange,18,6.0
IND-HW-000116,2022-05-05,2022,May,East,Bihar,Patna,40.1,27.6,39,16.6,1.2,47.9,28.4,Moderate Heat,Yellow,17,4.4
IND-HW-000117,2023-05-20,2023,May,East,Bihar,Gaya,42.1,28.6,44,13.5,1.4,57.0,31.3,Moderate Heat,Yellow,34,6.1
IND-HW-000118,2023-05-07,2023,May,North,Rajasthan,Phalodi,46.8,33.0,10,5.1,1.3,44.1,22.4,Heatwave,Orange,8,8.1
IND-HW-000119,2023-04-13,2023,April,North,Delhi,New Delhi,40.0,27.5,37,10.9,0.9,46.6,27.8,Moderate Heat,Yellow,14,4.7
IND-HW-000120,2019-04-25,2019,April,North,Uttar Pradesh,Prayagraj,49.6,36.7,29,15.5,2.4,65.3,32.8,Severe Heatwave,Red,53,8.5
IND-HW-000121,2023-04-01,2023,April,East,Bihar,Gaya,48.0,35.0,29,15.8,2.7,60.9,31.6,Severe Heatwave,Red,34,8.5
IND-HW-000122,2024-05-18,2024,May,North,Punjab,Bathinda,44.3,33.5,23,20.6,3.3,47.8,26.8,Moderate Heat,Yellow,19,6.0
IND-HW-000123,2022-05-05,2022,May,Central,Madhya Pradesh,Bhopal,40.2,30.1,33,20.2,3.8,45.0,26.9,Moderate Heat,Yellow,15,4.7
IND-HW-000124,2023-06-22,2023,June,East,Bihar,Patna,42.7,31.0,38,9.8,3.2,54.2,30.2,Moderate Heat,Yellow,19,6.0
IND-HW-000125,2022-05-23,2022,May,East,Bihar,Patna,47.3,37.4,36,9.7,1.7,66.2,33.3,Severe Heatwave,Red,46,8.4
IND-HW-000126,2024-05-21,2024,May,Central,Madhya Pradesh,Gwalior,46.8,35.9,10,12.0,1.9,44.1,22.4,Heatwave,Orange,8,7.8
IND-HW-000127,2024-05-23,2024,May,West,Maharashtra,Chandrapur,48.3,35.5,28,7.8,1.7,60.7,31.5,Severe Heatwave,Red,41,8.4
IND-HW-000128,2020-06-14,2020,June,South,Telangana,Hyderabad,41.6,29.1,33,22.0,0.9,48.1,28.0,Moderate Heat,Yellow,13,5.1
IND-HW-000129,2022-05-17,2022,May,North,Punjab,Bathinda,45.0,32.2,26,15.6,3.8,51.2,28.4,Heatwave,Orange,22,6.3
IND-HW-000130,2022-05-13,2022,May,East,West Bengal,Kolkata,40.7,30.7,57,11.3,3.9,62.9,33.0,Moderate Heat,Yellow,47,4.4
IND-HW-000131,2022-04-20,2022,April,South,Andhra Pradesh,Vijayawada,45.4,33.2,50,19.9,2.2,75.0,35.5,Heatwave,Orange,70,6.8
IND-HW-000132,2020-05-02,2020,May,North,Rajasthan,Jaipur,45.2,34.3,21,5.0,1.0,48.2,26.6,Heatwave,Orange,12,7.2
IND-HW-000133,2024-04-15,2024,April,North,Uttar Pradesh,Prayagraj,48.4,37.6,35,17.1,3.4,68.7,33.9,Severe Heatwave,Red,60,7.4
IND-HW-000134,2019-06-17,2019,June,North,Punjab,Bathinda,43.9,30.5,32,17.6,1.5,52.9,29.5,Moderate Heat,Yellow,24,6.4
IND-HW-000135,2022-04-07,2022,April,West,Maharashtra,Chandrapur,44.1,34.5,14,9.4,2.3,42.8,22.9,Moderate Heat,Yellow,8,6.8
IND-HW-000136,2023-06-09,2023,June,East,Bihar,Patna,47.3,33.6,31,13.8,2.3,61.0,31.8,Severe Heatwave,Red,46,7.7
IND-HW-000137,2020-04-20,2020,April,West,Gujarat,Ahmedabad,41.8,31.6,36,18.3,2.2,50.4,29.0,Moderate Heat,Yellow,25,3.9
IND-HW-000138,2024-05-05,2024,May,North,Rajasthan,Jaipur,46.3,35.8,27,13.2,2.1,54.8,29.7,Heatwave,Orange,30,7.1
IND-HW-000139,2024-06-24,2024,June,West,Maharashtra,Chandrapur,47.4,33.0,10,18.6,3.8,44.8,22.8,Severe Heatwave,Red,16,7.6
IND-HW-000140,2022-05-24,2022,May,North,Punjab,Bathinda,44.6,32.9,24,15.6,2.4,49.0,27.4,Heatwave,Orange,19,6.4
IND-HW-000141,2022-04-19,2022,April,South,Telangana,Hyderabad,42.8,30.9,31,12.2,3.4,49.6,28.3,Moderate Heat,Yellow,24,5.1
IND-HW-000142,2021-04-25,2021,April,North,Rajasthan,Churu,48.5,34.0,18,13.3,0.8,51.9,27.6,Severe Heatwave,Red,27,8.1
IND-HW-000143,2023-06-06,2023,June,Central,Madhya Pradesh,Gwalior,44.9,34.9,18,18.7,1.6,45.9,25.2,Heatwave,Orange,10,7.1
IND-HW-000144,2020-05-22,2020,May,West,Maharashtra,Chandrapur,46.7,34.9,14,12.9,2.5,46.3,24.5,Heatwave,Orange,12,6.6
IND-HW-000145,2023-06-14,2023,June,South,Tamil Nadu,Chennai,43.8,30.2,60,8.1,0.7,79.6,36.4,Heatwave,Orange,85,6.0
IND-HW-000146,2024-05-17,2024,May,North,Uttar Pradesh,Varanasi,42.2,31.9,34,9.2,1.7,50.1,28.8,Moderate Heat,Yellow,20,5.3
IND-HW-000147,2021-05-12,2021,May,West,Maharashtra,Nagpur (Vidarbha),50.5,39.6,12,4.9,1.9,50.0,25.8,Severe Heatwave,Red,19,9.3
IND-HW-000148,2024-05-16,2024,May,West,Maharashtra,Nagpur (Vidarbha),46.5,32.2,30,13.1,1.5,57.9,30.8,Heatwave,Orange,28,7.7
IND-HW-000149,2019-05-12,2019,May,South,Andhra Pradesh,Vijayawada,46.3,34.1,37,14.9,3.3,64.1,32.8,Heatwave,Orange,43,7.2
IND-HW-000150,2024-04-01,2024,April,West,Gujarat,Ahmedabad,42.9,31.4,45,13.7,2.8,60.4,32.2,Moderate Heat,Yellow,46,6.4
IND-HW-000151,2019-04-06,2019,April,North,Punjab,Bathinda,42.1,30.9,23,10.3,0.8,43.8,25.2,Moderate Heat,Yellow,9,5.1
IND-HW-000152,2023-05-16,2023,May,North,Delhi,New Delhi,43.9,32.5,26,20.1,1.3,48.8,27.6,Moderate Heat,Yellow,22,6.9
IND-HW-000153,2021-06-05,2021,June,North,Delhi,New Delhi,40.0,26.6,29,4.9,1.2,42.7,25.6,Moderate Heat,Yellow,8,4.3
IND-HW-000154,2024-06-19,2024,June,South,Andhra Pradesh,Vijayawada,40.6,29.7,53,7.0,1.0,59.1,32.1,Moderate Heat,Yellow,30,4.2
IND-HW-000155,2022-05-10,2022,May,West,Maharashtra,Chandrapur,46.9,34.2,30,10.0,2.5,59.0,31.1,Heatwave,Orange,48,7.0
IND-HW-000156,2020-05-27,2020,May,Central,Madhya Pradesh,Bhopal,41.8,29.0,22,6.7,2.8,42.9,24.7,Moderate Heat,Yellow,9,5.5
IND-HW-000157,2023-06-17,2023,June,North,Rajasthan,Phalodi,48.9,36.6,10,5.7,3.5,46.5,23.6,Severe Heatwave,Red,12,8.1
IND-HW-000158,2022-06-13,2022,June,North,Punjab,Bathinda,44.2,30.0,32,7.2,3.4,53.7,29.7,Moderate Heat,Yellow,28,6.5
IND-HW-000159,2023-05-03,2023,May,North,Uttar Pradesh,Varanasi,43.1,32.6,44,18.7,2.7,60.2,32.1,Moderate Heat,Yellow,41,6.1
IND-HW-000160,2024-05-31,2024,May,North,Haryana,Hisar,43.7,30.1,14,10.1,0.8,42.3,22.7,Moderate Heat,Yellow,6,5.7
IND-HW-000161,2022-04-12,2022,April,Central,Madhya Pradesh,Bhopal,41.7,30.5,33,7.7,3.8,48.3,28.1,Moderate Heat,Yellow,14,5.4
IND-HW-000162,2021-05-19,2021,May,North,Uttar Pradesh,Prayagraj,47.8,33.9,20,4.6,3.6,52.3,28.0,Severe Heatwave,Red,22,7.4
IND-HW-000163,2019-06-27,2019,June,North,Delhi,New Delhi,45.7,34.3,19,16.5,1.4,47.8,26.2,Heatwave,Orange,15,6.6
IND-HW-000164,2023-06-17,2023,June,South,Telangana,Hyderabad,41.0,27.4,28,7.7,3.7,44.2,26.1,Moderate Heat,Yellow,10,5.1
IND-HW-000165,2022-04-05,2022,April,Central,Madhya Pradesh,Gwalior,39.2,26.4,32,10.1,1.8,42.4,25.9,Normal,Green,5,4.3
IND-HW-000166,2022-05-21,2022,May,West,Maharashtra,Nagpur (Vidarbha),44.5,34.0,33,18.5,3.5,55.2,30.2,Heatwave,Orange,36,6.4
IND-HW-000167,2020-06-07,2020,June,East,Bihar,Patna,50.5,37.5,26,13.2,2.0,64.3,32.4,Severe Heatwave,Red,44,8.9
IND-HW-000168,2022-05-02,2022,May,Central,Madhya Pradesh,Bhopal,45.7,32.8,24,19.9,1.7,51.2,28.1,Heatwave,Orange,23,7.0
IND-HW-000169,2024-05-18,2024,May,South,Andhra Pradesh,Vijayawada,46.5,35.0,40,16.8,1.0,67.9,33.9,Heatwave,Orange,64,7.5
IND-HW-000170,2021-05-30,2021,May,East,West Bengal,Kolkata,41.8,31.0,69,12.9,3.1,80.0,36.4,Moderate Heat,Yellow,91,5.0
