Observation_ID,Event_Date,Historical_Event_Name,Earthquake_Magnitude_Mw,Tsunamigenic_Source_Zone,State_or_UT,Coastal_District,Survey_Location_Name,Latitude_deg_N,Longitude_deg_E,Maximum_Water_Runup_m,Inland_Inundation_Distance_m,Recording_Instrument_or_Agency,Documented_Impact_and_Field_Observations
IND-TSU-SURVEY-0011,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Chennai,Marina Beach,13.05,80.282,4.8,420,Chennai Port Trust Tide Gauge,"Heavy; Promenade road flooded, mechanized trawlers grounded"
IND-TSU-SURVEY-0012,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Tamil Nadu,Chengalpattu,Kalpakkam Atomic Station Coastal Belt,12.557,80.174,5.2,460,MAPS Coastal Monitoring Stn,"Reactor complex safe (automated trip), township lowlands flooded"
IND-TSU-SURVEY-0013,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Puducherry,Puducherry,"Promenade Beach, Puducherry",11.933,79.835,4.5,340,Puducherry Port Gauge,"Goubert Avenue inundated, seaside seawall partially protected inner town"
IND-TSU-SURVEY-0014,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Puducherry,Karaikal,Karaikal Port & Beach,10.925,79.838,7.2,880,Port Tide Gauge,"Severe; fishing colony wiped out, extensive siltation"
IND-TSU-SURVEY-0015,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Kerala,Kollam,Alappad / Neendakara,9.022,76.518,4.9,700,Cochin Tide Gauge / Post-Survey,"Anomalous refracted surge; narrow spit breached, heavy casualties"
IND-TSU-SURVEY-0016,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Kerala,Alappuzha,Arattupuzha Coast,9.278,76.438,3.7,480,GSI Survey Point,Severe coastal erosion and co-seismic backwater ingress
IND-TSU-SURVEY-0017,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Kerala,Ernakulam,Kochi Harbor / Fort Kochi,9.967,76.242,2.1,180,Cochin Port Trust Tide Gauge,"Harbor water oscillation, low-lying coastal flooding"
IND-TSU-SURVEY-0018,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andhra Pradesh,Krishna,"Manginapudi, Machilipatnam",16.24,81.218,3.4,390,Machilipatnam Gauge,"Coastal aquaculture ponds destroyed, fishing hamlets flooded"
IND-TSU-SURVEY-0019,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andhra Pradesh,Prakasam,Singarayakonda Beach,15.249,80.055,2.9,280,GSI Field Survey,Inundation of coastal huts and salinization of agricultural fields
IND-TSU-SURVEY-0020,2004-12-26,2004 Indian Ocean Tsunami,9.1,Sumatra-Andaman Trench,Andhra Pradesh,Visakhapatnam,Visakhapatnam Port,17.686,83.218,2.6,190,Vizag Tide Station,"Moderate harbor basin resonance, beach huts displaced"
IND-TSU-SURVEY-0021,1945-11-27,1945 Makran Earthquake & Tsunami,8.1,Makran Subduction Zone,Gujarat,Kutch,Kandla Creek / Kutch Coast,23.011,70.219,11.5,2200,Historical Port Logs,Extreme surge; coastal salt marshes and harbor docks submerged
IND-TSU-SURVEY-0022,1945-11-27,1945 Makran Earthquake & Tsunami,8.1,Makran Subduction Zone,Gujarat,Devbhumi Dwarka,Okha Port,22.464,69.071,5.8,650,Port Log Records,"Vessels tossed onto piers, jetties damaged"
IND-TSU-SURVEY-0023,1945-11-27,1945 Makran Earthquake & Tsunami,8.1,Makran Subduction Zone,Gujarat,Surat,Dumas / Gulf of Khambhat,21.085,72.705,3.5,410,Historical Revenue Records,"Estuarine bore in Tapi river mouth, loss of fishing nets"
IND-TSU-SURVEY-0024,1945-11-27,1945 Makran Earthquake & Tsunami,8.1,Makran Subduction Zone,Maharashtra,Mumbai,Apollo Bunder / Mumbai Harbor,18.922,72.834,2.2,140,Survey of India Tide Gauge (Apollo Bunder),"Over 15 casualties among fishermen; boats torn from moorings, Colaba lowlands flooded"
IND-TSU-SURVEY-0025,1945-11-27,1945 Makran Earthquake & Tsunami,8.1,Makran Subduction Zone,Maharashtra,Ratnagiri,Ratnagiri Coast,16.99,73.28,1.6,110,Coastal Observer Records,Unusual sea withdrawal and return surge without major inland structural loss
IND-TSU-SURVEY-0026,1881-12-31,1881 Car Nicobar Earthquake & Tsunami,7.9,Andaman Subduction Thrust,Andaman & Nicobar Islands,Nicobar,Car Nicobar Coast,9.155,92.78,3.2,240,Colonial Survey Log,Coastal tribal dwellings washed away
IND-TSU-SURVEY-0027,1881-12-31,1881 Car Nicobar Earthquake & Tsunami,7.9,Andaman Subduction Thrust,Andaman & Nicobar Islands,South Andaman,Port Blair Harbor,11.668,92.726,0.92,45,Survey of India Tide Gauge,Tidal oscillation captured on automatic tide register
IND-TSU-SURVEY-0028,1881-12-31,1881 Car Nicobar Earthquake & Tsunami,7.9,Andaman Subduction Thrust,Tamil Nadu,Nagapattinam,Nagapattinam Shore,10.76,79.84,1.22,80,Survey of India Tide Gauge,Sea level fluctuation recorded at tide gauge station
IND-TSU-SURVEY-0029,1881-12-31,1881 Car Nicobar Earthquake & Tsunami,7.9,Andaman Subduction Thrust,Tamil Nadu,Chennai,Madras Harbor,13.08,80.29,0.76,35,Madras Harbor Tide Gauge,Tidal record oscillations; no substantial inland damage
IND-TSU-SURVEY-0030,1881-12-31,1881 Car Nicobar Earthquake & Tsunami,7.9,Andaman Subduction Thrust,Odisha,Kendrapara,False Point Lighthouse,20.334,86.732,0.55,20,Survey of India Tide Gauge,Recorded on tide mareograph; sea rise observed
IND-TSU-SURVEY-0031,1883-08-27,1883 Krakatoa Eruption Tsunami,Volcanic Collapse,"Krakatoa Caldera, Sunda Strait",Tamil Nadu,Chennai,Madras Port,13.085,80.295,1.5,60,Madras Port Tide Gauge,Atmospheric pressure wave and marine surge; boat moorings strained
IND-TSU-SURVEY-0032,1883-08-27,1883 Krakatoa Eruption Tsunami,Volcanic Collapse,"Krakatoa Caldera, Sunda Strait",Tamil Nadu,Nagapattinam,Nagapattinam Coast,10.762,79.845,1.1,45,Survey of India Gauge,Oscillating tides recorded for over 24 hours
IND-TSU-SURVEY-0033,1883-08-27,1883 Krakatoa Eruption Tsunami,Volcanic Collapse,"Krakatoa Caldera, Sunda Strait",Andaman & Nicobar Islands,South Andaman,Port Blair,11.67,92.73,1.3,50,Port Blair Station,Wave amplitude ~1.3 m recorded on tide instrument
IND-TSU-SURVEY-0034,1941-06-26,1941 Andaman Earthquake & Tsunami,8.1,Andaman Trench Megathrust,Andaman & Nicobar Islands,South Andaman,Port Blair / Ross Island,11.672,92.76,1.5,75,Eyewitness / Station Records,Coastal buildings cracked and flooded; telegraph cables severed
IND-TSU-SURVEY-0035,1941-06-26,1941 Andaman Earthquake & Tsunami,8.1,Andaman Trench Megathrust,Tamil Nadu,Chennai,Madras Coast,13.06,80.28,1.1,40,Madras Tide Gauge,Noticeable surge along beaches during WWII blackout conditions
IND-TSU-SURVEY-0036,1819-06-16,1819 Rann of Kutch Earthquake,7.8,Allah Bund Intraplate Fault,Gujarat,Kutch,Sindree Fort / Kori Creek,23.95,69.15,3.0,3500,Historical Geological Survey (Lyell),Fort of Sindree submerged permanently; massive inland saltwater inundation
IND-TSU-SURVEY-0037,1762-04-02,1762 Arakan Coast Earthquake,7.5,Arakan Subduction Fault,West Bengal,Kolkata,Hooghly River / Kolkata Reach,22.56,88.35,1.8,250,East India Company Marine Log,"Severe violent river bore upstream; vessels driven ashore, banks flooded"
IND-TSU-SURVEY-0038,2012-04-11,2012 Wharton Basin Intraplate Earthquake,8.6,Wharton Basin Strike-Slip,Andaman & Nicobar Islands,Nicobar,"Campbell Bay, Great Nicobar",6.995,93.93,0.35,10,INCOIS Coastal Tide Gauge (CB),No structural damage; INCOIS alert tested successfully
IND-TSU-SURVEY-0039,2012-04-11,2012 Wharton Basin Intraplate Earthquake,8.6,Wharton Basin Strike-Slip,Andaman & Nicobar Islands,South Andaman,Port Blair Gauge Station,11.666,92.731,0.15,5,INCOIS / SOI Port Blair Tide Gauge,"Minor sea surface oscillation, safe response"
IND-TSU-SURVEY-0040,2012-04-11,2012 Wharton Basin Intraplate Earthquake,8.6,Wharton Basin Strike-Slip,Tamil Nadu,Chennai,Chennai Port Gauge,13.082,80.292,0.08,2,INCOIS Real-Time Tide Gauge,"Wave amplitude < 0.1 m recorded, no damage"
