record_id,date,time_utc_ist,region,state,latitude,longitude,magnitude,magnitude_type,depth_km,seismic_zone,mmi_intensity,felt_report,casualties_reported,buildings_damaged,economic_loss_inr_lakh,tsunami_warning,reporting_agency
12,2010-01-01,17:38:13,Kutch Region,Gujarat,24.0939,69.8875,2.2,mb,17.9,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
13,2010-01-01,17:46:04,Chamba-Kangra Belt,Himachal Pradesh,31.7553,76.1256,2.2,ML,8.6,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
14,2010-01-01,18:01:38,Kashmir Himalaya,Jammu and Kashmir,34.0077,74.2409,2.1,ML,7.3,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
15,2010-01-01,21:04:21,Kashmir Himalaya,Jammu and Kashmir,33.8704,74.7178,2.1,Mw,7.5,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
16,2010-01-01,21:49:19,Manipur-Indo-Myanmar Ranges,Manipur,24.3323,93.8465,2.2,mb,51.3,V,2,Not felt,0,0,0.0,No,National Center for Seismology
17,2010-01-01,23:15:18,Garhwal Himalaya,Uttarakhand,30.7559,79.6226,2.2,ML,13.9,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
18,2010-01-02,00:03:57,Rann of Kutch Border,Gujarat,23.9146,70.5571,2.8,Mw,8.2,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
19,2010-01-02,02:11:26,Kashmir Himalaya,Jammu and Kashmir,34.1826,73.8604,2.7,ML,22.8,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
20,2010-01-02,03:26:53,Nicobar Islands,Andaman and Nicobar Islands,8.4624,92.7768,2.1,ML,60.4,V,2,Not felt,0,0,0.0,No,National Center for Seismology
21,2010-01-02,05:14:16,Garhwal Himalaya,Uttarakhand,31.1723,79.5146,4.5,mb,24.8,IV,6,Slight damage to buildings,0,0,0.0,No,National Center for Seismology
22,2010-01-02,12:15:06,Kashmir Himalaya,Jammu and Kashmir,33.3684,75.0541,3.7,Mw,17.4,V,5,"Felt by most, minor damage possible",0,0,0.0,No,National Center for Seismology
23,2010-01-02,12:19:25,Upper Assam,Assam,26.0884,95.2088,2.2,ML,11.7,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
24,2010-01-02,13:09:27,Kashmir Himalaya,Jammu and Kashmir,34.4762,75.4808,2.4,Mw,5.1,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
25,2010-01-02,14:37:35,Bhadrachalam-Godavari Graben,Telangana,16.9205,80.8787,2.7,Mw,11.7,III,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
26,2010-01-02,16:56:20,Arunachal Himalaya,Arunachal Pradesh,28.4788,95.4378,2.1,Mw,20.2,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
27,2010-01-02,20:08:18,Andhra Coastal Belt,Andhra Pradesh,17.0295,80.9848,2.2,ML,5.9,II,3,"Felt by few, no damage",0,0,0.0,No,IMD
28,2010-01-02,20:36:14,Punjab Plains,Punjab,30.4712,76.237,2.1,ML,6.4,IV,3,"Felt by few, no damage",0,0,0.0,No,USGS
29,2010-01-02,21:02:18,Manipur-Indo-Myanmar Ranges,Manipur,24.4771,92.9777,3.4,Mw,29.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
30,2010-01-03,01:36:09,Nagaland Hills,Nagaland,26.2556,93.4953,2.2,Mw,26.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
31,2010-01-03,02:54:06,Sikkim Himalaya,Sikkim,28.2609,88.7412,2.1,ML,30.4,IV,2,Not felt,0,0,0.0,No,National Center for Seismology
32,2010-01-03,04:13:30,Sikkim Himalaya,Sikkim,27.3386,89.4207,2.0,ML,40.0,IV,2,Not felt,0,0,0.0,No,IMD
33,2010-01-03,04:37:58,Kutch Region,Gujarat,23.198,68.7487,2.0,mb,15.7,V,2,Not felt,0,0,0.0,No,National Center for Seismology
34,2010-01-03,05:59:07,Darjeeling Himalaya,West Bengal,27.0025,88.8901,2.1,ML,10.3,IV,3,"Felt by few, no damage",0,0,0.0,No,USGS
35,2010-01-03,08:31:07,Upper Assam,Assam,26.1888,95.2337,2.7,Mw,3.9,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
36,2010-01-03,09:54:16,Andaman Islands,Andaman and Nicobar Islands,12.4038,92.6056,2.2,mb,48.0,V,2,Not felt,0,0,0.0,No,National Center for Seismology
37,2010-01-03,10:40:00,Bihar-Nepal Border,Bihar,25.3925,86.3464,3.1,ML,20.2,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
38,2010-01-03,11:59:59,Sikkim Himalaya,Sikkim,27.3319,88.7406,2.3,Mw,17.6,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
39,2010-01-03,12:42:36,Andaman Islands,Andaman and Nicobar Islands,12.8265,93.4228,3.0,Mw,115.6,V,1,Not felt,0,0,0.0,No,IMD
40,2010-01-03,15:22:42,Bihar-Nepal Border,Bihar,27.2987,84.9256,3.0,ML,35.9,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
41,2010-01-03,15:45:35,Sikkim Himalaya,Sikkim,27.7891,89.0071,2.0,ML,17.1,IV,3,"Felt by few, no damage",0,0,0.0,No,USGS
42,2010-01-03,17:15:13,Chamba-Kangra Belt,Himachal Pradesh,31.8947,76.0634,2.3,mb,19.1,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
43,2010-01-03,18:11:39,Shillong Plateau,Meghalaya,25.3553,91.6752,2.8,Mw,37.0,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
44,2010-01-03,18:46:01,Guwahati-Kopili Belt,Assam,24.8757,91.3737,2.0,ML,17.7,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
45,2010-01-03,20:11:50,Manipur-Indo-Myanmar Ranges,Manipur,25.348,93.3614,2.4,mb,30.8,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
46,2010-01-03,22:31:34,Bhadrachalam-Godavari Graben,Telangana,18.2441,81.4603,2.2,Mw,3.3,III,3,"Felt by few, no damage",0,0,0.0,No,IMD
47,2010-01-03,23:25:18,Andaman Islands,Andaman and Nicobar Islands,13.0655,93.8009,3.0,ML,80.7,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
48,2010-01-03,23:50:00,Kutch Region,Gujarat,23.6833,69.3594,2.5,ML,12.5,V,5,"Felt by most, minor damage possible",0,0,0.0,No,National Center for Seismology
49,2010-01-04,00:38:31,Guwahati-Kopili Belt,Assam,27.0934,91.5925,2.5,Mw,8.3,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
50,2010-01-04,01:15:47,Sikkim Himalaya,Sikkim,26.5759,87.7351,2.1,Mw,19.1,IV,3,"Felt by few, no damage",0,0,0.0,No,USGS
51,2010-01-04,02:26:03,Chamba-Kangra Belt,Himachal Pradesh,31.0758,75.6334,2.1,Mw,29.4,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
52,2010-01-04,03:06:31,Punjab Plains,Punjab,30.3885,75.3437,2.4,Mw,2.5,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
53,2010-01-04,03:54:16,Darjeeling Himalaya,West Bengal,27.0741,88.6623,2.8,ML,5.9,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
54,2010-01-04,07:00:55,Upper Assam,Assam,26.9753,94.543,3.4,Mw,62.6,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
55,2010-01-04,07:32:29,Nicobar Islands,Andaman and Nicobar Islands,8.1234,93.7417,2.4,Mw,40.3,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
56,2010-01-04,08:15:38,Darjeeling Himalaya,West Bengal,26.4568,88.5006,2.2,ML,28.4,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
57,2010-01-04,09:30:36,Tripura Fold Belt,Tripura,22.847,90.7768,2.4,Mw,50.4,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
58,2010-01-04,09:42:32,Tamil Nadu Craton,Tamil Nadu,10.3395,78.4842,2.0,mb,11.7,II,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
59,2010-01-04,10:35:32,Sikkim Himalaya,Sikkim,28.0186,88.5934,2.6,Mw,25.6,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
60,2010-01-04,14:48:30,Andhra Coastal Belt,Andhra Pradesh,16.1113,80.2347,2.2,ML,18.1,II,3,"Felt by few, no damage",0,0,0.0,No,IMD
61,2010-01-04,15:54:13,Koyna-Warna Region,Maharashtra,16.0295,73.0276,2.1,Mw,10.9,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
62,2010-01-04,15:56:40,Kashmir Himalaya,Jammu and Kashmir,34.1504,74.5528,2.5,ML,50.2,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
63,2010-01-04,17:03:00,Andaman Islands,Andaman and Nicobar Islands,12.5143,93.1565,3.1,Mw,31.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
64,2010-01-04,18:27:30,Andaman Islands,Andaman and Nicobar Islands,13.1025,94.3167,2.1,mb,52.5,V,2,Not felt,0,0,0.0,No,IMD
65,2010-01-04,18:59:04,Andaman Islands,Andaman and Nicobar Islands,11.7927,91.0215,2.1,Mw,37.9,V,2,Not felt,0,0,0.0,No,National Center for Seismology
66,2010-01-04,20:20:32,Chamba-Kangra Belt,Himachal Pradesh,32.9673,75.8482,2.9,mb,4.2,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
67,2010-01-04,21:20:45,Sikkim Himalaya,Sikkim,27.047,89.0925,2.6,mb,61.7,IV,2,Not felt,0,0,0.0,No,National Center for Seismology
68,2010-01-05,01:18:54,Garhwal Himalaya,Uttarakhand,30.4604,79.7406,2.5,ML,44.8,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
69,2010-01-05,01:26:28,Guwahati-Kopili Belt,Assam,27.1888,90.606,2.1,Mw,10.4,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
70,2010-01-05,01:37:22,Upper Assam,Assam,27.7709,94.8311,2.3,ML,4.8,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
71,2010-01-05,01:50:10,Andaman Islands,Andaman and Nicobar Islands,12.3781,91.9914,2.7,Mw,129.1,V,1,Not felt,0,0,0.0,No,IMD
72,2010-01-05,02:17:52,Bihar-Nepal Border,Bihar,26.3788,86.604,2.4,Mw,31.5,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
73,2010-01-05,02:44:26,Shillong Plateau,Meghalaya,25.9751,92.8248,2.7,mb,5.2,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
74,2010-01-05,04:01:53,Manipur-Indo-Myanmar Ranges,Manipur,24.4231,93.4645,2.5,mb,68.1,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
75,2010-01-05,06:43:23,Shillong Plateau,Meghalaya,25.2933,92.1576,3.1,mb,5.3,V,5,"Felt by most, minor damage possible",0,0,0.0,No,USGS
76,2010-01-05,07:36:20,Nagaland Hills,Nagaland,25.7754,94.9812,2.3,mb,22.0,V,2,Not felt,0,0,0.0,No,IMD
77,2010-01-05,08:12:00,Tamil Nadu Craton,Tamil Nadu,11.3842,78.2531,2.3,ML,3.3,II,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
78,2010-01-05,13:02:44,Bihar-Nepal Border,Bihar,26.5761,85.6236,2.1,mb,13.3,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
79,2010-01-05,15:25:10,Uttar Pradesh Gangetic Plain,Uttar Pradesh,27.8844,80.178,2.1,Mw,7.2,III,2,Not felt,0,0,0.0,No,National Center for Seismology
80,2010-01-05,16:07:31,Nagaland Hills,Nagaland,26.5105,94.4277,2.9,Mw,4.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
81,2010-01-05,18:53:54,Punjab Plains,Punjab,31.1707,76.67,2.3,mb,17.4,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
82,2010-01-05,20:30:57,Darjeeling Himalaya,West Bengal,27.1704,88.703,2.4,ML,37.9,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
83,2010-01-05,21:22:24,Garhwal Himalaya,Uttarakhand,30.8035,79.169,2.2,Mw,37.9,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
84,2010-01-05,21:49:04,Upper Assam,Assam,27.4468,95.4014,2.7,Mw,21.8,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
85,2010-01-05,22:33:21,Bihar-Nepal Border,Bihar,26.8533,85.7267,2.6,mb,27.0,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
86,2010-01-05,23:51:56,Darjeeling Himalaya,West Bengal,27.03,87.4192,2.2,ML,35.7,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
87,2010-01-06,00:31:28,Nagaland Hills,Nagaland,25.9156,93.5525,2.4,mb,35.5,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
88,2010-01-06,01:16:41,Garhwal Himalaya,Uttarakhand,30.3301,79.0806,2.4,Mw,11.5,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
89,2010-01-06,02:06:28,Shillong Plateau,Meghalaya,25.9451,91.58,2.1,ML,16.3,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
90,2010-01-06,02:28:08,Darjeeling Himalaya,West Bengal,27.6022,88.5782,2.1,ML,15.7,IV,2,Not felt,0,0,0.0,No,IMD
91,2010-01-06,02:44:17,Arunachal Himalaya,Arunachal Pradesh,28.0942,93.2383,2.1,Mw,14.6,V,2,Not felt,0,0,0.0,No,USGS
92,2010-01-06,03:09:40,Rann of Kutch Border,Gujarat,24.2863,70.326,2.0,ML,33.0,V,2,Not felt,0,0,0.0,No,National Center for Seismology
93,2010-01-06,04:37:07,Kashmir Himalaya,Jammu and Kashmir,33.5004,76.0571,2.3,Mw,3.9,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
94,2010-01-06,05:12:06,Tripura Fold Belt,Tripura,24.2587,91.8856,2.1,Mw,11.9,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
95,2010-01-06,05:55:40,Manipur-Indo-Myanmar Ranges,Manipur,24.8921,94.329,2.1,Mw,71.7,V,2,Not felt,0,0,0.0,No,National Center for Seismology
96,2010-01-06,06:17:13,Upper Assam,Assam,27.4701,94.8764,2.1,Mw,11.2,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
97,2010-01-06,07:00:27,Delhi-NCR (Sohna Fault),Delhi,28.3487,78.464,3.0,mb,11.6,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
98,2010-01-06,09:46:01,Garhwal Himalaya,Uttarakhand,30.6472,79.554,2.9,ML,28.0,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
99,2010-01-06,09:49:17,Arunachal Himalaya,Arunachal Pradesh,27.6955,95.2532,2.2,Mw,4.4,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
100,2010-01-06,11:35:12,Sikkim Himalaya,Sikkim,27.152,88.4815,2.3,ML,7.2,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
101,2010-01-06,12:42:33,Punjab Plains,Punjab,30.6896,75.6795,2.1,Mw,40.3,IV,2,Not felt,0,0,0.0,No,National Center for Seismology
102,2010-01-06,13:28:18,Guwahati-Kopili Belt,Assam,25.6418,90.6815,2.1,mb,29.1,V,2,Not felt,0,0,0.0,No,IMD
103,2010-01-06,19:25:57,Uttar Pradesh Gangetic Plain,Uttar Pradesh,26.1268,79.7073,2.9,Mw,7.3,III,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
104,2010-01-06,19:37:50,Chamba-Kangra Belt,Himachal Pradesh,31.4208,76.903,2.4,Mw,7.4,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
105,2010-01-06,20:48:29,Tripura Fold Belt,Tripura,24.3351,91.4202,2.1,mb,24.5,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
106,2010-01-07,01:08:54,Manipur-Indo-Myanmar Ranges,Manipur,25.2199,94.1105,2.3,Mw,70.4,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
107,2010-01-07,01:19:11,Kumaon Himalaya,Uttarakhand,29.4252,80.8496,2.0,ML,21.0,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
108,2010-01-07,05:06:58,Bihar-Nepal Border,Bihar,26.3529,85.0061,2.7,ML,15.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
109,2010-01-07,07:11:06,Kashmir Himalaya,Jammu and Kashmir,33.8896,75.2912,2.2,ML,15.4,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
110,2010-01-07,08:20:04,Guwahati-Kopili Belt,Assam,26.1693,92.1791,2.1,mb,8.3,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
111,2010-01-07,08:46:39,Kumaon Himalaya,Uttarakhand,29.8099,79.9781,2.2,mb,47.6,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
112,2010-01-07,09:38:50,Shillong Plateau,Meghalaya,25.6772,91.8816,2.7,ML,8.0,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
113,2010-01-07,10:19:21,Uttar Pradesh Gangetic Plain,Uttar Pradesh,26.8126,81.9917,2.3,ML,4.1,III,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
114,2010-01-07,10:34:21,Kutch Region,Gujarat,24.1097,69.335,2.6,ML,11.7,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
115,2010-01-07,11:42:50,Garhwal Himalaya,Uttarakhand,30.7003,78.0747,2.2,ML,15.9,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
116,2010-01-07,15:08:33,Nicobar Islands,Andaman and Nicobar Islands,8.08,92.3581,2.2,Mw,34.6,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
117,2010-01-07,15:17:20,Shillong Plateau,Meghalaya,25.5854,91.0023,2.5,ML,5.0,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
118,2010-01-07,15:44:39,Garhwal Himalaya,Uttarakhand,30.0849,78.4503,2.1,Mw,14.9,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
119,2010-01-07,16:24:48,Koyna-Warna Region,Maharashtra,17.9356,73.1246,2.3,ML,15.6,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
120,2010-01-07,22:00:08,Guwahati-Kopili Belt,Assam,26.3273,91.8601,2.2,mb,31.0,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
121,2010-01-08,00:27:36,Andaman Islands,Andaman and Nicobar Islands,13.1853,92.4021,2.6,Mw,104.7,V,2,Not felt,0,0,0.0,No,National Center for Seismology
122,2010-01-08,01:22:16,Kumaon Himalaya,Uttarakhand,29.6543,79.3454,2.5,Mw,10.9,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
123,2010-01-08,03:10:05,Kutch Region,Gujarat,24.2671,69.9035,2.2,Mw,10.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
124,2010-01-08,04:36:11,Guwahati-Kopili Belt,Assam,25.8419,91.8545,2.5,ML,3.7,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
125,2010-01-08,05:21:26,Shillong Plateau,Meghalaya,25.4992,91.2186,2.2,Mw,8.1,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
126,2010-01-08,05:46:46,Arunachal Himalaya,Arunachal Pradesh,28.5336,94.5982,2.9,Mw,14.7,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
127,2010-01-08,05:56:06,Garhwal Himalaya,Uttarakhand,30.4885,79.0257,2.7,Mw,17.5,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
128,2010-01-08,08:15:57,Punjab Plains,Punjab,30.7169,74.9501,2.1,mb,28.7,IV,2,Not felt,0,0,0.0,No,National Center for Seismology
129,2010-01-08,08:21:35,Upper Assam,Assam,25.7833,93.9956,3.0,ML,16.1,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
130,2010-01-08,08:46:40,Kumaon Himalaya,Uttarakhand,28.986,80.4608,3.0,Mw,3.3,IV,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
131,2010-01-08,10:21:39,Sikkim Himalaya,Sikkim,28.3479,88.7114,2.1,Mw,12.7,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
132,2010-01-08,10:26:41,Guwahati-Kopili Belt,Assam,26.1679,92.2472,2.5,ML,24.3,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,USGS
133,2010-01-08,11:23:01,Bihar-Nepal Border,Bihar,26.9745,86.2812,2.2,Mw,17.6,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
134,2010-01-08,11:24:35,Kashmir Himalaya,Jammu and Kashmir,34.2869,76.2003,2.0,Mw,2.5,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
135,2010-01-08,17:08:19,Darjeeling Himalaya,West Bengal,26.5956,88.1926,2.3,ML,4.3,IV,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
136,2010-01-08,17:50:22,Garhwal Himalaya,Uttarakhand,31.0372,79.3138,2.4,ML,36.9,IV,2,Not felt,0,0,0.0,No,IMD
137,2010-01-08,18:08:25,Guwahati-Kopili Belt,Assam,27.4326,92.0709,2.4,Mw,27.9,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
138,2010-01-08,18:51:19,Upper Assam,Assam,26.0148,94.8584,2.4,Mw,15.7,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
139,2010-01-08,20:27:28,Upper Assam,Assam,26.9653,94.0079,2.9,ML,18.4,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,IMD
140,2010-01-08,21:41:48,Nicobar Islands,Andaman and Nicobar Islands,7.6824,92.5381,2.1,ML,30.6,V,2,Not felt,0,0,0.0,No,IMD
141,2010-01-08,23:02:19,Shillong Plateau,Meghalaya,25.5266,92.893,2.1,mb,6.6,V,2,Not felt,0,0,0.0,No,IMD
142,2010-01-08,23:33:52,Manipur-Indo-Myanmar Ranges,Manipur,24.6279,93.6789,2.5,Mw,34.3,V,2,Not felt,0,0,0.0,No,National Center for Seismology
143,2010-01-09,01:53:34,Guwahati-Kopili Belt,Assam,27.3923,91.455,2.2,ML,10.0,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
144,2010-01-09,04:01:47,Kutch Region,Gujarat,23.6847,70.3086,2.0,Mw,11.1,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
145,2010-01-09,06:51:52,Nicobar Islands,Andaman and Nicobar Islands,8.0584,94.3698,2.5,Mw,38.6,V,2,Not felt,0,0,0.0,No,USGS
146,2010-01-09,09:07:01,Garhwal Himalaya,Uttarakhand,29.6079,78.6233,2.4,Mw,2.5,IV,3,"Felt by few, no damage",0,0,0.0,No,USGS
147,2010-01-09,09:10:39,Upper Assam,Assam,27.4702,95.891,2.1,ML,10.5,V,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
148,2010-01-09,11:50:40,Darjeeling Himalaya,West Bengal,26.9532,88.2896,2.4,Mw,21.8,IV,3,"Felt by few, no damage",0,0,0.0,No,IMD
149,2010-01-09,14:33:36,Arunachal Himalaya,Arunachal Pradesh,28.6401,93.9849,2.5,mb,24.1,V,2,Not felt,0,0,0.0,No,IMD
150,2010-01-09,14:37:50,Arunachal Himalaya,Arunachal Pradesh,27.5193,93.9883,2.4,mb,21.5,V,3,"Felt by few, no damage",0,0,0.0,No,IMD
151,2010-01-09,21:32:38,Odisha Craton,Odisha,20.7716,86.8465,2.2,Mw,2.0,II,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
152,2010-01-09,21:40:35,Kerala Coastal Belt,Kerala,10.6334,77.0914,2.4,Mw,3.9,III,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
153,2010-01-09,21:44:59,Andaman Islands,Andaman and Nicobar Islands,13.8671,92.3787,3.4,ML,38.2,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
154,2010-01-09,22:44:59,Upper Assam,Assam,26.5822,96.3183,2.1,ML,4.8,V,3,"Felt by few, no damage",0,0,0.0,No,USGS
155,2010-01-09,23:25:20,Darjeeling Himalaya,West Bengal,27.9179,88.2269,2.1,mb,27.8,IV,2,Not felt,0,0,0.0,No,IMD
156,2010-01-10,00:09:59,Latur-Osmanabad Region,Maharashtra,18.1444,76.0681,2.3,ML,3.6,III,3,"Felt by few, no damage",0,0,0.0,No,National Center for Seismology
157,2010-01-10,02:13:00,Tripura Fold Belt,Tripura,24.9519,90.0568,2.6,Mw,4.6,V,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
158,2010-01-10,02:50:07,Bellary Region,Karnataka,15.4868,76.5415,2.7,Mw,3.0,II,4,"Felt indoors, dishes rattle",0,0,0.0,No,National Center for Seismology
159,2010-01-10,03:01:44,Shillong Plateau,Meghalaya,25.6343,92.0832,2.1,Mw,26.6,V,2,Not felt,0,0,0.0,No,IMD
